# Runlist.csv file written by KVINDRADB_e475s::WriteRunListFile on Wed Mar 25 16:13:17 2009
Version=10
2 | Buffers=12704 | Events=1191382 | Faraday 1=0 | Faraday 2=0 | Gene DIRECT=56614 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=30556 | DEC=6534275 | FC=1191502 | OK=1191501 | FT=1191501 | AVL=1191501 | OCD=1191501 | OA=1191501 | RAZ=1191502 | Plast All=5371023 | Plast G=1438685 | Plast C=28975 | Plast D=5642541 | Trigger multiplicity=0 | Length (min.)=5.040250 | Size (MB)=198.500000 | Dead time (%)=53.972500 | Start Date=9-MAR-2006 05:55:17.00 | End Date=9-MAR-2006 06:00:18.00 | Comments=faisceau 78Kr + 40Ca 5.5 A.MeV | Logbook=runs a priori de trigger 1 mais inexpoitables | 
14 | Buffers=11445 | Events=949566 | Faraday 1=0 | Faraday 2=0 | Gene DIRECT=124778 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=30242 | DEC=1450919 | FC=949594 | OK=949594 | FT=949594 | AVL=949594 | OCD=949594 | OA=949594 | RAZ=949595 | Plast All=6192502 | Plast G=6162372 | Plast C=25307 | Plast D=30211 | Trigger multiplicity=2 | Length (min.)=11.352000 | Size (MB)=178.828003 | Dead time (%)=24.236601 | Start Date=9-MAR-2006 14:59:27.00 | End Date=9-MAR-2006 15:11:07.00 | Comments=run stopped because of problem with acquisition (errors in acq_menu window) | Logbook= | 
15 | Buffers=12706 | Events=1037316 | Faraday 1=0 | Faraday 2=0 | Gene DIRECT=191343 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=34658 | DEC=1418438 | FC=1037384 | OK=1037384 | FT=1037384 | AVL=1037384 | OCD=1037384 | OA=1037384 | RAZ=1037384 | Plast All=3684947 | Plast G=366685 | Plast C=3372129 | Plast D=80049 | Trigger multiplicity=2 | Length (min.)=17.104000 | Size (MB)=198.531006 | Dead time (%)=18.113001 | Start Date=9-MAR-2006 16:01:19.00 | End Date=9-MAR-2006 16:18:22.00 | Comments=Deflecteur du C01 a disjoncte on arrete le run | Logbook= | 
16 | Buffers=3871 | Events=321665 | Faraday 1=0 | Faraday 2=0 | Gene DIRECT=70314 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=10882 | DEC=448405 | FC=323706 | OK=323706 | FT=323706 | AVL=323706 | OCD=323706 | OA=323706 | RAZ=323707 | Plast All=998152 | Plast G=99077 | Plast C=913558 | Plast D=21883 | Trigger multiplicity=2 | Length (min.)=6.468380 | Size (MB)=60.484402 | Dead time (%)=15.476300 | Start Date=9-MAR-2006 16:18:25.00 | End Date=9-MAR-2006 16:25:09.00 | Comments=78Kr + 40Ca 5.5 A.MeV | Logbook= | 
17 | Buffers=12707 | Events=1144340 | Faraday 1=0 | Faraday 2=0 | Gene DIRECT=137912 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=33660 | DEC=1718025 | FC=1144776 | OK=1144776 | FT=1144776 | AVL=1144776 | OCD=1144776 | OA=1144776 | RAZ=1144777 | Plast All=2577794 | Plast G=255881 | Plast C=2358955 | Plast D=56642 | Trigger multiplicity=2 | Length (min.)=12.326300 | Size (MB)=198.546997 | Dead time (%)=24.406900 | Start Date=9-MAR-2006 16:28:16.00 | End Date=9-MAR-2006 16:40:26.00 | Comments= | Logbook=p.51 | 
18 | Buffers=12705 | Events=1040100 | Faraday 1=0 | Faraday 2=0 | Gene DIRECT=171415 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=34419 | DEC=1431872 | FC=1037378 | OK=1037378 | FT=1037378 | AVL=1037378 | OCD=1037378 | OA=1037378 | RAZ=1037378 | Plast All=3588328 | Plast G=356967 | Plast C=3283542 | Plast D=78567 | Trigger multiplicity=2 | Length (min.)=15.426400 | Size (MB)=198.516006 | Dead time (%)=20.079300 | Start Date=9-MAR-2006 16:40:26.00 | End Date=9-MAR-2006 16:56:08.00 | Comments=78Kr + 40Ca 5.5 A.MeV | Logbook= | 
19 | Buffers=12725 | Events=1043567 | Faraday 1=0 | Faraday 2=0 | Gene DIRECT=153618 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=34247 | DEC=1512620 | FC=1040844 | OK=1040844 | FT=1040844 | AVL=1040844 | OCD=1040844 | OA=1040844 | RAZ=1040845 | Plast All=3379598 | Plast G=334788 | Plast C=3093786 | Plast D=74262 | Trigger multiplicity=2 | Length (min.)=14.128700 | Size (MB)=198.828003 | Dead time (%)=22.293600 | Start Date=9-MAR-2006 16:56:08.00 | End Date=9-MAR-2006 17:10:12.00 | Comments=On va modifier le faisceau, on arrete l'aquistion | Logbook= | 
20 | Buffers=4323 | Events=391795 | Faraday 1=0 | Faraday 2=0 | Gene DIRECT=65073 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=12793 | DEC=554921 | FC=391222 | OK=391222 | FT=391222 | AVL=391222 | OCD=391222 | OA=391222 | RAZ=391223 | Plast All=1356455 | Plast G=134129 | Plast C=1241754 | Plast D=29753 | Trigger multiplicity=2 | Length (min.)=5.967270 | Size (MB)=67.546898 | Dead time (%)=19.659500 | Start Date=9-MAR-2006 17:10:12.00 | End Date=9-MAR-2006 17:16:11.00 | Comments=enlevement d'1/15 de pepper plot - reduction de l'emittance a 0.6 - I\equal100pA - TM\equal20% - On redemarre | Logbook=Chute des pressions dans la ChIo 4-5 | 
21 | Buffers=12705 | Events=1042279 | Faraday 1=0 | Faraday 2=0 | Gene DIRECT=163634 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=33424 | DEC=1500451 | FC=1043992 | OK=1043992 | FT=1043992 | AVL=1043992 | OCD=1043992 | OA=1043992 | RAZ=1043992 | Plast All=3289209 | Plast G=326683 | Plast C=3009794 | Plast D=69602 | Trigger multiplicity=2 | Length (min.)=14.550800 | Size (MB)=198.516006 | Dead time (%)=20.426100 | Start Date=9-MAR-2006 17:30:08.00 | End Date=9-MAR-2006 17:44:25.00 | Comments=78Kr + 40Ca 5.5 A.MeV | Logbook=Chute des pressions dans la ChIo 4-5 | 
22 | Buffers=12705 | Events=1081635 | Faraday 1=0 | Faraday 2=0 | Gene DIRECT=149473 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=33189 | DEC=1548817 | FC=1079244 | OK=1079244 | FT=1079244 | AVL=1079244 | OCD=1079244 | OA=1079244 | RAZ=1079245 | Plast All=2226802 | Plast G=220872 | Plast C=2038675 | Plast D=46308 | Trigger multiplicity=2 | Length (min.)=13.389800 | Size (MB)=198.516006 | Dead time (%)=22.204000 | Start Date=9-MAR-2006 17:44:25.00 | End Date=9-MAR-2006 17:58:06.00 | Comments=78Kr + 40Ca 5.5 A.MeV | Logbook=Chute des pressions dans la ChIo 4-5 | 
23 | Buffers=12707 | Events=1103341 | Faraday 1=0 | Faraday 2=0 | Gene DIRECT=107324 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=31148 | DEC=1746832 | FC=1098941 | OK=1098941 | FT=1098941 | AVL=1098941 | OCD=1098941 | OA=1098941 | RAZ=1098941 | Plast All=1629405 | Plast G=164165 | Plast C=1490223 | Plast D=34480 | Trigger multiplicity=2 | Length (min.)=9.713610 | Size (MB)=198.546997 | Dead time (%)=29.022400 | Start Date=9-MAR-2006 17:58:06.00 | End Date=9-MAR-2006 18:07:27.00 | Comments=78Kr + 40Ca 5.5 A.MeV | Logbook=Chute des pressions dans la ChIo 4-5 | 
24 | Buffers=12704 | Events=1084371 | Faraday 1=0 | Faraday 2=0 | Gene DIRECT=131879 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=32770 | DEC=1638327 | FC=1082661 | OK=1082661 | FT=1082661 | AVL=1082661 | OCD=1082661 | OA=1082661 | RAZ=1082662 | Plast All=1998768 | Plast G=202496 | Plast C=1827425 | Plast D=43243 | Trigger multiplicity=2 | Length (min.)=11.805900 | Size (MB)=198.500000 | Dead time (%)=24.848499 | Start Date=9-MAR-2006 18:07:28.00 | End Date=9-MAR-2006 18:19:22.00 | Comments=78Kr + 40Ca 5.5 A.MeV | Logbook=Chute des pressions dans la ChIo 4-5 | 
25 | Buffers=12706 | Events=1041833 | Faraday 1=0 | Faraday 2=0 | Gene DIRECT=194642 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=34318 | DEC=1418356 | FC=1040542 | OK=1040542 | FT=1040542 | AVL=1040542 | OCD=1040542 | OA=1040542 | RAZ=1040542 | Plast All=3068718 | Plast G=310536 | Plast C=2805638 | Plast D=66329 | Trigger multiplicity=2 | Length (min.)=17.447800 | Size (MB)=198.531006 | Dead time (%)=17.631300 | Start Date=9-MAR-2006 18:19:22.00 | End Date=9-MAR-2006 18:37:05.00 | Comments=78Kr + 40Ca 5.5 A.MeV | Logbook=Chute des pressions dans la ChIo 4-5 | 
26 | Buffers=12707 | Events=1030555 | Faraday 1=0 | Faraday 2=0 | Gene DIRECT=203866 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=34635 | DEC=1356891 | FC=1027943 | OK=1027943 | FT=1027943 | AVL=1027943 | OCD=1027943 | OA=1027943 | RAZ=1027944 | Plast All=3318826 | Plast G=334339 | Plast C=3034957 | Plast D=72302 | Trigger multiplicity=2 | Length (min.)=18.277000 | Size (MB)=198.546997 | Dead time (%)=16.989100 | Start Date=9-MAR-2006 18:37:05.00 | End Date=9-MAR-2006 18:55:13.00 | Comments=78Kr + 40Ca 5.5 A.MeV | Logbook=Chute des pressions dans la ChIo 4-5 | 
27 | Buffers=12706 | Events=1032985 | Faraday 1=0 | Faraday 2=0 | Gene DIRECT=196591 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=34312 | DEC=1392138 | FC=1031495 | OK=1031495 | FT=1031495 | AVL=1031495 | OCD=1031495 | OA=1031495 | RAZ=1031496 | Plast All=3267824 | Plast G=327345 | Plast C=2990615 | Plast D=70802 | Trigger multiplicity=2 | Length (min.)=17.597000 | Size (MB)=198.531006 | Dead time (%)=17.453501 | Start Date=9-MAR-2006 18:55:13.00 | End Date=9-MAR-2006 19:13:00.00 | Comments=78Kr + 40Ca 5.5 A.MeV | Logbook=Chute des pressions dans la ChIo 4-5 | 
28 | Buffers=3098 | Events=250169 | Faraday 1=0 | Faraday 2=0 | Gene DIRECT=47927 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=8531 | DEC=326969 | FC=247644 | OK=247644 | FT=247644 | AVL=247644 | OCD=247644 | OA=247644 | RAZ=247645 | Plast All=804560 | Plast G=80627 | Plast C=736302 | Plast D=17565 | Trigger multiplicity=2 | Length (min.)=4.440300 | Size (MB)=48.406200 | Dead time (%)=17.799999 | Start Date=9-MAR-2006 19:13:01.00 | End Date=9-MAR-2006 19:17:14.00 | Comments=Pression ds les chambres affiche une baisse - On arrete l'acquisition. | Logbook=Chute des pressions dans la ChIo 4-5 (p.51) | 
29 | Buffers=12710 | Events=1038054 | Faraday 1=0 | Faraday 2=0 | Gene DIRECT=233864 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=35098 | DEC=1316016 | FC=1038803 | OK=1038803 | FT=1038803 | AVL=1038803 | OCD=1038803 | OA=1038803 | RAZ=1038803 | Plast All=3111802 | Plast G=304137 | Plast C=2852038 | Plast D=70611 | Trigger multiplicity=2 | Length (min.)=20.861401 | Size (MB)=198.593994 | Dead time (%)=15.007900 | Start Date=9-MAR-2006 20:21:20.00 | End Date=9-MAR-2006 20:42:16.00 | Comments=On remet les pressions et on redemarre | Logbook=p.54 | 
30 | Buffers=10295 | Events=837603 | Faraday 1=0 | Faraday 2=0 | Gene DIRECT=219820 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=41399 | DEC=1140079 | FC=865818 | OK=865818 | FT=865818 | AVL=865818 | OCD=865818 | OA=865818 | RAZ=865818 | Plast All=2717001 | Plast G=264784 | Plast C=2490613 | Plast D=62086 | Trigger multiplicity=2 | Length (min.)=38.689899 | Size (MB)=160.858994 | Dead time (%)=18.833099 | Start Date=9-MAR-2006 20:42:16.00 | End Date=9-MAR-2006 21:21:06.00 | Comments=78Kr + 40Ca 5.5 A.MeV | Logbook= | 
31 | Buffers=12705 | Events=1043660 | Faraday 1=0 | Faraday 2=0 | Gene DIRECT=292393 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=34870 | DEC=1407679 | FC=1044430 | OK=1044430 | FT=1044430 | AVL=1044430 | OCD=1044430 | OA=1044430 | RAZ=1044431 | Plast All=3038127 | Plast G=290290 | Plast C=2787960 | Plast D=70728 | Trigger multiplicity=2 | Length (min.)=25.989901 | Size (MB)=198.516006 | Dead time (%)=11.925700 | Start Date=9-MAR-2006 21:22:02.00 | End Date=9-MAR-2006 21:48:02.00 | Comments=78Kr + 40Ca 5.5 A.MeV | Logbook= | 
32 | Buffers=12704 | Events=1108204 | Faraday 1=0 | Faraday 2=0 | Gene DIRECT=174946 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=32135 | DEC=1775733 | FC=1107134 | OK=1107134 | FT=1107134 | AVL=1107134 | OCD=1107134 | OA=1107134 | RAZ=1107134 | Plast All=2867529 | Plast G=273049 | Plast C=2632537 | Plast D=67484 | Trigger multiplicity=2 | Length (min.)=15.654500 | Size (MB)=198.500000 | Dead time (%)=18.368500 | Start Date=9-MAR-2006 21:48:02.00 | End Date=9-MAR-2006 22:03:21.00 | Comments=78Kr + 40Ca 5.5 A.MeV | Logbook= | 
33 | Buffers=13 | Events=6468 | Faraday 1=0 | Faraday 2=0 | Gene DIRECT=6223 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=4778 | DEC=116185 | FC=11794 | OK=11794 | FT=11794 | AVL=11794 | OCD=11794 | OA=11794 | RAZ=11794 | Plast All=93516 | Plast G=8918 | Plast C=85756 | Plast D=2245 | Trigger multiplicity=0 | Length (min.)=1.531500 | Size (MB)=0.203125 | Dead time (%)=76.779701 | Start Date=9-MAR-2006 22:03:21.00 | End Date=9-MAR-2006 22:05:07.00 | Comments=On sait pas trop ce qui s'est passe (Mtrigger\equal1 ou 2) | Logbook=run a priori de trigger >\equal1 mais inexpoitable (p.54) | 
34 | Buffers=8378 | Events=969105 | Faraday 1=0 | Faraday 2=0 | Gene DIRECT=55519 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=18451 | DEC=4021161 | FC=969108 | OK=969108 | FT=969108 | AVL=969108 | OCD=969108 | OA=969108 | RAZ=969108 | Plast All=806482 | Plast G=76980 | Plast C=740435 | Plast D=18753 | Trigger multiplicity=1 | Length (min.)=5.213780 | Size (MB)=130.906006 | Dead time (%)=33.233700 | Start Date=9-MAR-2006 22:10:15.00 | End Date=9-MAR-2006 22:15:21.00 | Comments=78Kr + 40Ca 5.5 A.MeV | Logbook=p.123 disjonction VXI 3 | 
35 | Buffers=12707 | Events=1462058 | Faraday 1=0 | Faraday 2=0 | Gene DIRECT=83855 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=27886 | DEC=6251536 | FC=1456399 | OK=1456399 | FT=1456399 | AVL=1456399 | OCD=1456399 | OA=1456399 | RAZ=1456400 | Plast All=1298825 | Plast G=124332 | Plast C=1191946 | Plast D=30809 | Trigger multiplicity=1 | Length (min.)=7.533600 | Size (MB)=198.546997 | Dead time (%)=33.255001 | Start Date=9-MAR-2006 22:16:07.00 | End Date=9-MAR-2006 22:23:23.00 | Comments=disjonction chassis 1 | Logbook=p.54 | 
36 | Buffers=9717 | Events=1128090 | Faraday 1=0 | Faraday 2=0 | Gene DIRECT=64274 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=21557 | DEC=4933745 | FC=1127356 | OK=1127356 | FT=1127356 | AVL=1127356 | OCD=1127356 | OA=1127356 | RAZ=1127356 | Plast All=1023749 | Plast G=98105 | Plast C=939378 | Plast D=24209 | Trigger multiplicity=1 | Length (min.)=6.080560 | Size (MB)=151.828003 | Dead time (%)=33.539200 | Start Date=9-MAR-2006 22:23:23.00 | End Date=9-MAR-2006 22:29:25.00 | Comments=78Kr + 40Ca 5.5 A.MeV | Logbook= | 
37 | Buffers=12709 | Events=1463257 | Faraday 1=0 | Faraday 2=0 | Gene DIRECT=98771 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=29165 | DEC=6155651 | FC=1458884 | OK=1458884 | FT=1458884 | AVL=1458884 | OCD=1458884 | OA=1458884 | RAZ=1458884 | Plast All=1226619 | Plast G=116768 | Plast C=1126189 | Plast D=29572 | Trigger multiplicity=1 | Length (min.)=8.870760 | Size (MB)=198.578003 | Dead time (%)=29.527901 | Start Date=9-MAR-2006 22:41:17.00 | End Date=9-MAR-2006 22:50:13.00 | Comments=78Kr + 40Ca 5.5 A.MeV | Logbook= | 
38 | Buffers=10659 | Events=1228183 | Faraday 1=0 | Faraday 2=0 | Gene DIRECT=88028 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=24300 | DEC=4829270 | FC=1227779 | OK=1227779 | FT=1227779 | AVL=1227779 | OCD=1227779 | OA=1227779 | RAZ=1227779 | Plast All=986211 | Plast G=95063 | Plast C=904641 | Plast D=23540 | Trigger multiplicity=1 | Length (min.)=8.214010 | Size (MB)=166.546997 | Dead time (%)=27.604900 | Start Date=9-MAR-2006 22:50:13.00 | End Date=9-MAR-2006 22:58:19.00 | Comments=78Kr + 40Ca 5.5 A.MeV | Logbook= | 
39 | Buffers=12707 | Events=1085486 | Faraday 1=0 | Faraday 2=0 | Gene DIRECT=228762 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=31773 | DEC=1724334 | FC=1086872 | OK=1086872 | FT=1086872 | AVL=1086872 | OCD=1086872 | OA=1086872 | RAZ=1086872 | Plast All=3025852 | Plast G=290887 | Plast C=2775627 | Plast D=72678 | Trigger multiplicity=2 | Length (min.)=20.363600 | Size (MB)=198.546997 | Dead time (%)=13.889100 | Start Date=9-MAR-2006 22:59:16.00 | End Date=9-MAR-2006 23:19:27.00 | Comments=passage en multiplicity 2 | Logbook=p.54 | 
40 | Buffers=12707 | Events=1132587 | Faraday 1=0 | Faraday 2=0 | Gene DIRECT=183662 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=30654 | DEC=1982675 | FC=1129749 | OK=1129749 | FT=1129749 | AVL=1129749 | OCD=1129749 | OA=1129749 | RAZ=1129749 | Plast All=2828743 | Plast G=272914 | Plast C=2593732 | Plast D=68434 | Trigger multiplicity=2 | Length (min.)=16.490999 | Size (MB)=198.546997 | Dead time (%)=16.690399 | Start Date=9-MAR-2006 23:19:27.00 | End Date=9-MAR-2006 23:36:11.00 | Comments=78Kr + 40Ca 5.5 A.MeV | Logbook= | 
