++KVIDZAFromZGrid
212.331   374.013
254.005   352.914
295.679   333.743
344.742   313.311
393.805   294.946
443.459   278.065
493.113   262.758
543.358   248.606
593.604   235.851
635.918   226.214
678.233   217.687
735.488   208.428
792.742   197.984
849.997   189.21
907.251   181.181
964.506   173.805
1021.76   167.006
+KVIDZALine
ID:Z=7 A=14
7	14
29
0   675.147
8.53291   668.604
38.7475   645.434
68.9621   622.903
99.1138   601.128
129.265   580.163
161.35   558.837
193.434   538.572
228.225   517.804
263.015   498.251
300.125   478.672
337.234   460.278
374.344   442.894
411.454   426.447
454.362   408.563
497.27   391.926
537.858   377.375
578.447   363.957
620.582   351.141
662.717   339.233
718.768   324.499
774.819   310.849
831.257   298.205
887.695   286.901
960.394   274.894
1033.09   261.997
1105.79   250.883
1178.49   240.674
1251.19   231.263
+KVIDZALine
ID:Z=8 A=16
8	16
34
0   808.746
11.4891   799.591
42.5025   774.878
73.5159   750.961
105.141   727.403
136.765   704.763
168.848   682.753
200.931   661.732
246.306   633.63
291.68   607.261
341.18   580.239
390.679   554.963
440.637   531.198
490.595   509.203
529.553   493.2
568.511   478.091
619.385   459.573
670.26   442.417
722.509   426.108
774.759   410.936
823.8   397.545
872.841   384.783
921.882   372.606
970.923   361.117
1012.17   352.079
1053.42   343.858
1094.67   336.548
1135.92   328.474
1177.17   321.187
1218.42   314.217
1259.67   307.543
1300.92   301.146
1342.17   295.01
1383.42   289.119
+KVIDZALine
ID:Z=9 A=18
9	18
24
0   984.088
11.2349   975.431
37.8743   954.904
63.3554   935.694
106.21   904.263
149.065   874.082
218.559   827.913
286.895   785.783
348.281   750.353
409.668   716.959
508.117   667.474
606.567   623.216
676.061   595.31
746.714   569.598
847.48   536.781
948.247   507.137
1045.54   480.777
1121.98   461.537
1197.27   443.455
1291.08   422.269
1384.9   403.295
1478.72   386.292
1572.54   370.47
1666.35   355.892
+KVIDZALine
ID:Z=10 A=20
10	20
30
0   1151
8.90628   1144.13
50.1432   1112.36
89.9934   1082.49
132.531   1051.56
175.068   1021.71
211.624   997.004
248.18   973.165
294.04   944.494
339.901   917.144
402.378   881.695
464.855   848.123
534.643   812.651
604.431   779.339
654.28   756.961
704.128   735.78
767.27   710.571
830.412   686.831
914.822   657.098
999.232   629.605
1078.33   605.721
1157.42   583.535
1244.49   560.682
1331.56   539.144
1416.31   519.157
1518.79   496.381
1621.26   475.939
1723.74   457.263
1826.22   439.866
1928.69   423.744
+KVIDZALine
ID:Z=11 A=22
11	22
30
0   1325.65
9.9542   1317.91
46.9507   1289.16
83.9471   1261.08
120.944   1233.67
157.94   1207.02
217.917   1165.54
277.895   1126.19
337.872   1088.92
397.849   1053.47
475.127   1010.21
552.406   969.48
629.684   931.387
706.962   895.922
786.548   861.841
866.133   829.747
945.718   799.371
1025.3   770.612
1114.12   740.573
1202.93   712.536
1291.74   686.611
1380.55   662.606
1469.63   640.23
1558.71   618.93
1647.79   598.486
1736.87   579.003
1825.95   561.032
1915.03   544.322
2004.11   528.449
2093.18   513.476
+KVIDZALine
ID:Z=12 A=24
12	24
32
0   1500.45
3.61063   1497.81
63.5877   1453.92
112.226   1419.17
160.864   1385.22
209.501   1352.02
276.447   1307.65
343.393   1265.07
410.339   1224.43
477.285   1185.84
538.543   1152.21
599.801   1120.14
661.058   1089.43
722.316   1060.07
805.452   1022.19
888.587   986.626
971.723   953.114
1054.86   921.616
1130.56   894.347
1206.25   868.365
1281.95   843.384
1357.65   819.354
1431.59   796.801
1505.54   775.423
1579.49   755.327
1653.43   736.425
1734.24   716.863
1815.05   698.166
1895.86   680.278
2001.91   658.465
2107.96   637.87
2184   624.015
+KVIDZALine
ID:Z=13 A=26
13	26
30
0   1689.4
9.2771   1682.49
75.9554   1632.78
140.651   1586.02
205.346   1540.84
270.042   1497.3
336.713   1454.19
403.383   1412.99
470.054   1373.72
536.725   1336.16
602.408   1300.77
668.091   1267.01
733.775   1234.7
799.458   1203.57
870.573   1170.97
941.689   1139.5
1012.8   1109.1
1083.92   1079.9
1178.25   1043.11
1272.57   1008.93
1366.9   977.309
1461.23   947.665
1560.99   917.896
1660.75   889.536
1760.51   862.251
1860.27   835.564
1960.17   809.413
2064.04   783.519
2167.91   761.05
2184   757.643
+KVIDZALine
ID:Z=14 A=28
14	28
28
0   1909.37
3.12062   1907.01
28.5427   1887.8
94.8428   1838.63
161.143   1790.75
227.443   1744.53
293.743   1700.22
376.337   1647.74
458.931   1598.02
541.525   1550.29
624.12   1504.2
721.884   1451.96
819.649   1403.05
917.413   1357.53
1015.18   1314.85
1115.19   1273.02
1215.2   1232.52
1315.21   1193.69
1415.23   1156.7
1497.26   1127.99
1579.29   1100.55
1661.32   1074.49
1743.35   1049.46
1843.37   1020.17
1943.38   992.406
2043.39   966.996
2143.4   941.971
2184   932.434
+KVIDZALine
ID:Z=15 A=30
15	30
23
0   2079.58
13.9171   2069.75
81.6715   2021.93
149.426   1974.78
217.18   1928.37
284.935   1882.97
374.053   1825.25
463.171   1769.67
552.29   1716.45
641.408   1666.09
781.8   1592.4
922.192   1523.63
1062.58   1459.08
1202.98   1398.04
1318.95   1350.97
1434.93   1306.52
1550.9   1264.94
1666.88   1225.55
1771.26   1191.64
1875.64   1159.51
1980.02   1128.88
2084.39   1099.73
2184   1073.6
+KVIDZALine
ID:Z=16 A=32
16	32
18
0   2315.26
4.39601   2312.08
157.813   2200.9
283.318   2115.22
408.823   2034.93
534.328   1958.84
667.434   1882.74
800.541   1810.61
933.647   1743.07
1066.75   1679.42
1193.07   1622.81
1319.38   1568.87
1445.7   1517.9
1572.02   1468.99
1739.08   1408.51
1906.14   1353.98
2073.2   1303.1
2184   1271.57
+KVIDZALine
ID:Z=17 A=34
17	34
18
0   2526.29
3.03922   2524.19
152.568   2420.95
263.185   2345.43
373.801   2271.76
484.417   2200.48
600.564   2129.78
716.712   2063.45
832.859   2001.17
949.007   1941.38
1085.87   1874.4
1222.73   1812.48
1359.59   1753.12
1496.45   1695.63
1682.88   1622.93
1869.31   1555.51
2100.13   1478.9
2184   1454.13
+KVIDZALine
ID:Z=18 A=37
18	37
26
0   2722.13
11.2342   2714.06
83.7224   2662.03
154.769   2612.25
225.815   2563.52
296.862   2515.92
375.064   2464.41
453.266   2413.8
531.469   2364.68
609.671   2316.95
685.317   2272.04
760.964   2229.02
836.611   2187.75
912.257   2147.83
988.415   2108.27
1064.57   2069.31
1140.73   2032.07
1216.89   1996.78
1338.54   1942.52
1460.18   1889.29
1581.83   1838.11
1703.48   1788.17
1825.13   1738.26
1946.78   1695.82
2068.42   1653.6
2184   1615.44
+KVIDZALine
ID:Z=19 A=39
19	39
20
0   2949.14
13.3189   2939.89
71.5892   2899.43
133.427   2856.38
178.616   2825.12
223.708   2794
279.88   2755.33
336.051   2716.38
424.582   2656.02
513.113   2599.33
624.234   2531.42
735.355   2465.41
856.856   2398.06
978.357   2333.45
1106.57   2267.44
1234.79   2206.1
1375.22   2140.01
1515.65   2077.36
1656.08   2020.52
1796.5   1965.79
+KVIDZALine
ID:Z=20 A=41
20	41
28
0   3150.4
9.75135   3143.73
61.4811   3108.34
113.211   3073.27
141.751   3053.77
170.292   3034.2
217.86   3001.65
265.427   2969.08
324.887   2928.15
384.346   2887.91
436.076   2854.01
487.806   2821.14
546.076   2784.3
604.347   2747.18
684.022   2697.19
763.698   2650.09
833.86   2610.07
904.023   2570.48
975.969   2531.24
1047.91   2492.99
1136.51   2447.45
1225.1   2401.94
1305.97   2361.75
1386.83   2322.2
1467.7   2285.53
1548.56   2249.34
1629.43   2214.28
1710.29   2180.3
+KVIDZALine
ID:Z=21 A=43
21	43
18
0   3390.96
99.6621   3307.8
179.729   3251.19
258.216   3191.88
354.612   3123.18
453.115   3052.07
553.211   2982.61
644.185   2923.19
735.158   2866.4
826.131   2810.58
917.104   2757.38
1008.08   2706.16
1099.06   2656.84
1190.03   2609.25
1281.01   2563.33
1371.98   2518.99
1462.96   2476.17
1553.94   2434.78
!
++KVIDZAFromZGrid
<VARX> Q2Amplitude
<VARY> QH1Amplitude
<PARAMETER> IDTelescopes=ID_SI1_SI2_12
<PARAMETER> Runlist=40-776
<PARAMETER> PIDRANGE=1-200
<PARAMETER> PIDRANGE1=1:0.924810,1.008333,1.057839|2:1.063318,1.125000,1.158295|3:1.162861,1.190259,1.245053
<PARAMETER> PIDRANGE2=3:1.775495,1.865024,1.909437|4:1.910959,2.008333,2.124004
<PARAMETER> PIDRANGE3=6:2.796798,2.872907,2.924658|7:2.928463,3.008333,3.072487|8:3.076664,3.122527,3.178843
<PARAMETER> PIDRANGE4=7:3.628321,3.725000,3.820468|9:3.907915,4.008333,4.065525|10:4.075000,4.125000,4.192231
<PARAMETER> PIDRANGE5=10:4.770928,4.858333,4.923135|11:4.928463,5.008333,5.072298|12:5.076865,5.130898,5.209056
<PARAMETER> PIDRANGE6=11:5.773973,5.854642,5.914003|12:5.937595,6.008333,6.074581|13:6.077626,6.141667,6.191667|14:6.193303,6.258333,6.308333
<PARAMETER> PIDRANGE7=13:6.662100,6.741248,6.783105|14:6.793760,6.875000,6.940639|15:6.943683,7.008333,7.086758|16:7.089802,7.141667,7.211568
<PARAMETER> PIDRANGE8=15:7.744292,7.858333,7.924658|16:7.929985,8.008333,8.073820|17:8.076865,8.141667,8.207002|18:8.211568,8.258333,8.327245
<PARAMETER> PIDRANGE9=17:8.674277,8.742770,8.787671|18:8.793760,8.875000,8.939878|19:8.942922,9.008333,9.073820|20:9.076103,9.127093,9.191667|21:9.194064,9.259513,9.312785
<PARAMETER> PIDRANGE10=19:9.662100,9.720700,9.775000|20:9.779300,9.857686,9.941400|21:9.944444,10.008333,10.073059|22:10.076865,10.141667,10.215373|23:10.219178,10.261796,10.338661
<PARAMETER> PIDRANGE11=21:10.662100,10.725000,10.791476|22:10.795282,10.865297,10.926941|23:10.929224,11.008333,11.081431|24:11.089041,11.141667,11.219178|25:11.226788,11.261796,11.310502
<PARAMETER> PIDRANGE12=23:11.640791,11.728310,11.770167|24:11.773212,11.859209,11.922374|25:11.929224,11.994673,12.073059|26:12.074581,12.124049,12.206240|27:12.210807,12.244292,12.324962
<PARAMETER> PIDRANGE13=25:12.678082,12.726027,12.786910|26:12.791476,12.875000,12.923896|27:12.930746,13.008333,13.073059|28:13.077626,13.125000,13.188737|29:13.191020,13.245814,13.294521|30:13.458333,13.508333,13.558333
<PARAMETER> PIDRANGE14=27:13.574581,13.641553,13.674277|28:13.678082,13.747336,13.811263|29:13.815068,13.875000,13.939878|30:13.944444,14.008333,14.086758|31:14.091667,14.141667,14.218417
<PARAMETER> PIDRANGE15=29:14.628615,14.708333,14.768645|30:14.773212,14.875000,14.925000|31:14.929224,15.008333,15.070776|32:15.075000,15.125000,15.187976|33:15.191020,15.242009,15.308333|34:15.311263,15.337900,15.409209
<PARAMETER> PIDRANGE16=31:15.546423,15.645358,15.674277|32:15.678843,15.757230,15.822679|33:15.829528,15.877473,15.937595|34:15.945205,15.990107,16.071537|35:16.075342,16.108828,16.192542
<PARAMETER> PIDRANGE17=34:16.661339,16.741667,16.791476|35:16.793760,16.853120,16.926941|36:16.931507,16.991629,17.074581|37:17.078387,17.128615,17.208333
<PARAMETER> PIDRANGE18=35:17.627093,17.694064,17.742770|36:17.751903,17.858447,17.911720|37:17.915525,18.008333,18.057839|38:18.058600,18.112633,18.207002|39:18.211568,18.258333,18.328006
<PARAMETER> PIDRANGE19=38:18.777778,18.858333,18.923135|39:18.926941,19.008333,19.052511|40:19.057839,19.125000,19.235160
<PARAMETER> PIDRANGE20=40:19.676560,20.008333,20.371385
OnlyZId
+KVIDZALine
ID:Z=1 A=1
1	1
31
0.000000 21.792300
1.465220 20.910200
3.418440 19.734200
9.459640 16.515000
16.325300 13.327300
25.262100 10.040700
33.679300 7.685700
47.442400 5.966930
56.333100 5.261620
67.660000 4.511930
78.986900 3.949240
90.313700 3.511330
101.641000 3.160850
112.968000 2.873980
124.294000 2.634850
135.621000 2.432450
146.948000 2.258940
158.275000 2.108520
169.602000 1.976890
180.929000 1.860730
192.256000 1.757460
203.583000 1.665050
214.910000 1.581880
226.236000 1.506620
237.563000 1.438190
248.890000 1.375710
260.217000 1.318440
271.544000 1.265740
282.871000 1.217090
294.198000 1.172040
305.525000 1.130210
+KVIDZALine
ID:Z=2 A=4
2	4
27
0.000000 90.426200
2.385810 88.579600
5.836370 85.908900
11.100100 82.004800
16.060400 78.471100
29.735300 69.653200
43.101900 62.359400
56.468400 56.317400
70.657400 50.944900
81.659100 47.457800
99.858100 42.663400
117.954000 38.817400
136.761000 35.907100
155.568000 32.880100
174.375000 30.493800
193.181000 28.430400
211.988000 26.628500
230.795000 25.041500
249.601000 23.633000
268.408000 22.374400
287.215000 21.243200
306.022000 20.220800
324.828000 19.292400
343.635000 18.445400
362.442000 17.669700
381.249000 16.956600
400.055000 16.298800
+KVIDZALine
ID:Z=3 A=7
3	7
23
0.000000 183.813000
2.997050 181.479000
8.672700 177.059000
21.601000 167.307000
43.148100 152.223000
58.500400 142.491000
80.855500 129.914000
106.173000 117.725000
130.414000 107.946000
155.732000 99.707700
181.588000 92.889600
202.058000 88.016900
225.490000 82.676000
243.267000 78.632000
274.779000 71.892400
306.292000 67.370800
337.805000 62.947500
369.317000 59.069200
400.830000 55.641100
432.342000 52.589100
463.855000 49.854400
495.368000 47.390100
526.880000 45.158000
+KVIDZALine
ID:Z=4 A=9
4	9
27
0.000000 287.051000
4.769590 283.185000
19.168300 271.515000
32.892200 260.786000
56.299700 243.548000
80.017700 227.420000
109.835000 209.355000
139.652000 193.624000
169.875000 179.940000
200.099000 168.294000
225.172000 159.677000
250.245000 151.859000
279.249000 143.685000
308.253000 136.240000
331.056000 130.597000
353.860000 125.174000
383.448000 118.588000
413.037000 113.022000
442.625000 107.778000
472.213000 103.026000
501.801000 98.674700
531.389000 94.676300
560.977000 90.989300
590.565000 87.578800
620.153000 84.414700
649.741000 81.471200
679.329000 78.726100
+KVIDZALine
ID:Z=5 A=11
5	11
23
0.000000 399.887000
4.517070 396.465000
38.735900 370.543000
72.954700 346.293000
98.318200 329.511000
123.682000 313.787000
150.659000 298.257000
177.637000 283.928000
217.988000 264.433000
258.339000 247.215000
301.918000 230.811000
345.497000 216.145000
387.001000 203.423000
428.505000 191.842000
478.932000 179.041000
529.359000 167.792000
575.651000 159.144000
621.942000 150.899000
668.233000 143.588000
714.525000 136.953000
760.816000 130.903000
807.107000 125.366000
853.399000 120.278000
+KVIDZALine
ID:Z=6 A=12
6	12
24
0.000000 511.170000
5.294200 507.029000
30.532200 487.288000
55.770300 468.299000
97.213100 438.792000
138.656000 411.548000
175.659000 389.240000
212.661000 368.853000
254.400000 348.033000
296.139000 329.219000
345.278000 309.159000
394.418000 290.967000
444.149000 274.238000
493.881000 259.242000
544.204000 245.692000
594.528000 233.435000
636.908000 224.029000
679.289000 215.487000
736.633000 205.655000
793.976000 195.696000
851.320000 186.992000
908.664000 179.029000
966.007000 171.716000
1023.350000 164.978000
+KVIDZALine
ID:Z=7 A=14
7	14
29
0.000000 666.282000
8.546200 659.754000
38.807900 636.637000
69.069500 614.212000
99.268100 592.637000
129.467000 571.930000
161.601000 550.894000
193.735000 530.883000
228.580000 510.363000
263.424000 490.970000
300.592000 471.474000
337.759000 453.265000
374.927000 436.257000
412.094000 420.409000
455.069000 403.291000
498.044000 387.340000
538.696000 373.201000
579.348000 359.962000
621.548000 347.176000
663.749000 335.272000
719.887000 320.491000
776.025000 306.849000
832.551000 294.252000
889.076000 283.002000
961.889000 271.136000
1034.700000 258.280000
1107.510000 247.246000
1180.330000 237.116000
1253.140000 227.784000
+KVIDZALine
ID:Z=8 A=16
8	16
34
0.000000 798.224000
11.506900 789.126000
42.568600 764.566000
73.630300 740.801000
105.304000 717.393000
136.978000 694.902000
169.111000 673.065000
201.244000 652.212000
246.689000 624.410000
292.134000 598.441000
341.711000 571.996000
391.288000 547.328000
441.323000 524.200000
491.359000 502.626000
530.377000 486.913000
569.396000 472.005000
620.350000 453.833000
671.303000 436.882000
723.634000 420.746000
775.965000 405.633000
825.082000 392.320000
874.200000 379.689000
923.317000 367.688000
972.435000 356.368000
1013.750000 347.579000
1055.060000 339.461000
1096.380000 332.112000
1137.690000 324.244000
1179.000000 317.065000
1220.320000 310.196000
1261.630000 303.619000
1302.950000 297.315000
1344.260000 291.267000
1385.570000 285.461000
+KVIDZALine
ID:Z=9 A=18
9	18
24
0.000000 970.468000
11.252400 962.074000
37.933200 942.173000
63.454000 923.508000
106.375000 892.932000
149.297000 863.436000
218.899000 817.880000
287.341000 775.693000
348.823000 740.097000
410.305000 706.947000
508.908000 658.778000
607.512000 616.172000
677.114000 588.755000
747.876000 562.891000
848.799000 529.488000
949.723000 499.963000
1047.170000 474.126000
1123.730000 455.067000
1199.130000 437.269000
1293.090000 416.541000
1387.060000 398.052000
1481.020000 381.228000
1574.980000 365.671000
1668.950000 351.335000
+KVIDZALine
ID:Z=10 A=20
10	20
30
0.000000 1135.500000
8.920150 1128.850000
50.221300 1098.070000
90.133500 1068.920000
132.737000 1038.580000
175.341000 1009.050000
211.953000 984.429000
248.566000 960.587000
294.498000 931.826000
340.430000 904.375000
403.005000 868.970000
465.579000 835.728000
535.475000 801.171000
605.372000 769.154000
655.298000 747.672000
705.225000 727.090000
768.464000 702.208000
831.704000 678.504000
916.246000 648.720000
1000.790000 621.266000
1080.000000 597.620000
1159.220000 575.640000
1246.430000 552.795000
1333.630000 531.168000
1418.520000 511.236000
1521.150000 488.974000
1623.790000 469.762000
1726.420000 450.874000
1829.060000 433.775000
1931.690000 417.926000
+KVIDZALine
ID:Z=11 A=22
11	22
30
0.000000 1309.030000
9.969700 1301.360000
47.023800 1272.880000
84.077800 1245.050000
121.132000 1217.870000
158.186000 1191.390000
218.257000 1150.090000
278.327000 1110.800000
338.398000 1073.450000
398.468000 1038.150000
475.867000 995.610000
553.266000 956.044000
630.664000 919.185000
708.063000 884.452000
787.772000 850.530000
867.481000 818.370000
947.190000 788.035000
1026.900000 759.761000
1115.850000 730.698000
1204.800000 703.935000
1293.750000 678.838000
1382.700000 655.051000
1471.920000 632.578000
1561.140000 611.221000
1650.360000 590.810000
1739.570000 571.447000
1828.790000 553.630000
1918.010000 536.934000
2007.230000 521.144000
2096.440000 506.256000
+KVIDZALine
ID:Z=12 A=24
12	24
33
0.000000 1483.480000
3.616250 1480.810000
63.686700 1436.400000
112.400000 1401.420000
161.114000 1367.450000
209.828000 1334.570000
276.878000 1291.040000
343.928000 1249.420000
410.978000 1209.530000
478.028000 1171.310000
539.381000 1137.900000
600.734000 1106.070000
662.088000 1075.730000
723.441000 1046.900000
806.706000 1009.890000
889.971000 974.992000
973.235000 942.043000
1056.500000 910.617000
1132.320000 883.286000
1208.130000 857.051000
1283.950000 831.936000
1359.760000 808.154000
1433.820000 786.251000
1507.880000 765.617000
1581.950000 745.919000
1656.010000 727.025000
1736.940000 707.450000
1817.880000 688.792000
1898.810000 671.100000
2005.030000 649.708000
2111.240000 629.139000
2217.460000 609.988000
2323.670000 591.968000
+KVIDZALine
ID:Z=13 A=26
13	26
31
0.000000 1666.840000
9.291540 1660.030000
76.073600 1611.110000
140.870000 1565.120000
205.666000 1520.770000
270.462000 1478.130000
337.237000 1435.880000
404.011000 1395.390000
470.786000 1356.500000
537.561000 1319.260000
603.346000 1284.260000
669.132000 1250.800000
734.917000 1218.610000
800.702000 1187.600000
871.929000 1155.350000
943.155000 1124.620000
1014.380000 1095.270000
1085.610000 1066.990000
1180.080000 1031.050000
1274.560000 997.034000
1369.030000 964.878000
1463.500000 934.767000
1563.420000 904.816000
1663.330000 876.754000
1763.250000 849.929000
1863.160000 823.828000
1963.220000 798.334000
2067.250000 773.122000
2171.280000 751.031000
2275.320000 729.493000
2379.350000 709.156000
+KVIDZALine
ID:Z=14 A=28
14	28
29
0.000000 1882.400000
3.125480 1880.120000
28.587200 1861.560000
94.990400 1813.970000
161.394000 1767.370000
227.797000 1721.950000
294.200000 1677.870000
376.923000 1625.270000
459.646000 1575.380000
542.368000 1527.960000
625.091000 1482.910000
723.008000 1432.700000
820.925000 1385.140000
918.841000 1339.410000
1016.760000 1295.480000
1116.930000 1253.050000
1217.090000 1213.630000
1317.260000 1177.130000
1417.430000 1142.620000
1499.590000 1115.040000
1581.750000 1088.010000
1663.910000 1061.750000
1746.070000 1036.710000
1846.240000 1007.850000
1946.400000 980.367000
2046.570000 954.315000
2146.740000 929.766000
2246.910000 906.386000
2347.080000 884.153000
+KVIDZALine
ID:Z=15 A=30
15	30
25
0.000000 2052.370000
13.938800 2042.610000
81.798600 1995.090000
149.658000 1948.220000
217.518000 1901.950000
285.378000 1856.530000
374.635000 1798.870000
463.893000 1744.020000
553.150000 1692.290000
642.407000 1643.310000
783.017000 1570.420000
923.628000 1502.300000
1064.240000 1439.170000
1204.850000 1379.480000
1321.010000 1332.520000
1437.160000 1288.400000
1553.320000 1247.260000
1669.470000 1208.630000
1774.020000 1175.430000
1878.560000 1144.040000
1983.100000 1113.890000
2087.640000 1085.110000
2192.180000 1058.330000
2296.720000 1032.620000
2401.260000 1008.130000
+KVIDZALine
ID:Z=16 A=32
16	32
19
0.000000 2284.350000
4.402850 2281.180000
158.059000 2170.560000
283.759000 2086.090000
409.459000 2006.170000
535.160000 1931.350000
668.473000 1856.100000
801.787000 1784.580000
935.101000 1718.230000
