# Runlist.csv file written by KVINDRADB::WriteRunListFile on Thu Sep  8 09:27:17 2011
Version=10
2 | Buffers=4342 | Events=378328 | Faraday 1=0 | PRG23=0 | DEC=460067 | FC=378582 | OK=378582 | FT=378582 | AVL=0 | OCD=378582 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=78799 | Gene TM=18550 | Gene MARQ=0 | OA=378582 | RAZ=378583 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Length (min.)=7.044763 | Size (MB)=67.843750 | Dead time (%)=23.540909 | Start Date=7-SEP-2011 18:12:06.00 | End Date=7-SEP-2011 18:19:08.00 | Comments=Pas de Chio, Pas d'etalons, CsI 10-17. Gains Si: 1 (1-5) 2.828 (6-7) 4 (8-9) | 
13 | Buffers=12707 | Events=1117379 | Faraday 1=0 | PRG23=0 | DEC=1359767 | FC=1117374 | OK=1117374 | FT=1117374 | AVL=0 | OCD=1117374 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=229224 | Gene TM=53447 | Gene MARQ=0 | OA=1117374 | RAZ=1117375 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Length (min.)=20.455533 | Size (MB)=198.546900 | Dead time (%)=23.316494 | Start Date=7-SEP-2011 21:49:18.00 | End Date=7-SEP-2011 22:10:02.00 | Comments=Gains Si: 4 partout | 
14 | Buffers=12708 | Events=1117263 | Faraday 1=0 | PRG23=0 | DEC=1357961 | FC=1117641 | OK=1117641 | FT=1117641 | AVL=0 | OCD=1117641 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=230360 | Gene TM=53508 | Gene MARQ=0 | OA=1117641 | RAZ=1117642 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Length (min.)=20.554667 | Size (MB)=198.562500 | Dead time (%)=23.227991 | Start Date=7-SEP-2011 22:10:04.00 | End Date=7-SEP-2011 22:30:20.00 | Comments=Gains Si: 4 partout | 
15 | Buffers=12709 | Events=1116859 | Faraday 1=0 | PRG23=0 | DEC=1356954 | FC=1116969 | OK=1116969 | FT=1116969 | AVL=0 | OCD=1116969 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=230948 | Gene TM=53595 | Gene MARQ=0 | OA=1116969 | RAZ=1116969 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Length (min.)=20.652683 | Size (MB)=198.578100 | Dead time (%)=23.206522 | Start Date=7-SEP-2011 22:30:20.00 | End Date=7-SEP-2011 22:51:10.00 | Comments=Gains Si: 4 partout | 
16 | Buffers=12707 | Events=1116832 | Faraday 1=0 | PRG23=0 | DEC=1356170 | FC=1116712 | OK=1116712 | FT=1116712 | AVL=0 | OCD=1116712 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=230797 | Gene TM=53791 | Gene MARQ=0 | OA=1116712 | RAZ=1116713 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Length (min.)=20.646567 | Size (MB)=198.546900 | Dead time (%)=23.306629 | Start Date=7-SEP-2011 22:51:10.00 | End Date=7-SEP-2011 23:11:29.00 | Comments=Gains Si: 4 partout | 
17 | Buffers=12705 | Events=1116579 | Faraday 1=0 | PRG23=0 | DEC=1357001 | FC=1116456 | OK=1116456 | FT=1116456 | AVL=0 | OCD=1116456 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=229699 | Gene TM=53106 | Gene MARQ=0 | OA=1116456 | RAZ=1116456 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Length (min.)=20.547317 | Size (MB)=198.515600 | Dead time (%)=23.119822 | Start Date=7-SEP-2011 23:11:30.00 | End Date=7-SEP-2011 23:32:16.00 | Comments=Gains Si: 4 partout | 
18 | Buffers=12708 | Events=1117289 | Faraday 1=0 | PRG23=0 | DEC=1358730 | FC=1117834 | OK=1117833 | FT=1117833 | AVL=0 | OCD=1117833 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=230815 | Gene TM=53947 | Gene MARQ=0 | OA=1117833 | RAZ=1117833 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Length (min.)=20.580983 | Size (MB)=198.562500 | Dead time (%)=23.372398 | Start Date=7-SEP-2011 23:32:18.00 | End Date=7-SEP-2011 23:53:05.00 | Comments=Gains Si: 4 partout | 
19 | Buffers=12706 | Events=1116931 | Faraday 1=0 | PRG23=0 | DEC=1357165 | FC=1116465 | OK=1116465 | FT=1116465 | AVL=0 | OCD=1116465 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=230007 | Gene TM=53510 | Gene MARQ=0 | OA=1116465 | RAZ=1116465 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Length (min.)=20.572383 | Size (MB)=198.531200 | Dead time (%)=23.264509 | Start Date=7-SEP-2011 23:53:06.00 | End Date=8-SEP-2011 00:13:23.00 | Comments=Gains Si: 4 partout | 
20 | Buffers=12708 | Events=1117457 | Faraday 1=0 | PRG23=0 | DEC=1360460 | FC=1117455 | OK=1117455 | FT=1117455 | AVL=0 | OCD=1117455 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=229170 | Gene TM=53531 | Gene MARQ=0 | OA=1117455 | RAZ=1117456 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Length (min.)=20.437833 | Size (MB)=198.562500 | Dead time (%)=23.358643 | Start Date=8-SEP-2011 00:13:25.00 | End Date=8-SEP-2011 00:34:08.00 | Comments=Gains Si: 4 partout | 
21 | Buffers=12709 | Events=1117559 | Faraday 1=0 | PRG23=0 | DEC=1360778 | FC=1117836 | OK=1117836 | FT=1117836 | AVL=0 | OCD=1117836 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=229151 | Gene TM=53591 | Gene MARQ=0 | OA=1117836 | RAZ=1117837 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Length (min.)=20.502950 | Size (MB)=198.578100 | Dead time (%)=23.386763 | Start Date=8-SEP-2011 00:34:08.00 | End Date=8-SEP-2011 00:54:23.00 | Comments=Gains Si: 4 partout | 
22 | Buffers=12707 | Events=1116857 | Faraday 1=0 | PRG23=0 | DEC=1357190 | FC=1116717 | OK=1116717 | FT=1116717 | AVL=0 | OCD=1116717 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=230029 | Gene TM=53737 | Gene MARQ=0 | OA=1116717 | RAZ=1116718 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Length (min.)=20.569767 | Size (MB)=198.546900 | Dead time (%)=23.360968 | Start Date=8-SEP-2011 00:54:23.00 | End Date=8-SEP-2011 01:15:10.00 | Comments=Gains Si: 4 partout | 
23 | Buffers=12708 | Events=1117126 | Faraday 1=0 | PRG23=0 | DEC=1359405 | FC=1117444 | OK=1117444 | FT=1117444 | AVL=0 | OCD=1117444 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=229478 | Gene TM=54200 | Gene MARQ=0 | OA=1117444 | RAZ=1117445 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Length (min.)=20.518750 | Size (MB)=198.562500 | Dead time (%)=23.618822 | Start Date=8-SEP-2011 01:15:11.00 | End Date=8-SEP-2011 01:35:26.00 | Comments=Gains Si: 4 partout | 
24 | Buffers=12706 | Events=1116709 | Faraday 1=0 | PRG23=0 | DEC=1358489 | FC=1116462 | OK=1116462 | FT=1116462 | AVL=0 | OCD=1116462 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=228651 | Gene TM=53462 | Gene MARQ=0 | OA=1116462 | RAZ=1116463 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Length (min.)=20.451733 | Size (MB)=198.531200 | Dead time (%)=23.381485 | Start Date=8-SEP-2011 01:35:26.00 | End Date=8-SEP-2011 01:56:10.00 | Comments=Gains Si: 4 partout | 
25 | Buffers=12709 | Events=1116860 | Faraday 1=0 | PRG23=0 | DEC=1358616 | FC=1117092 | OK=1117092 | FT=1117092 | AVL=0 | OCD=1117092 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=229803 | Gene TM=53726 | Gene MARQ=0 | OA=1117092 | RAZ=1117093 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Length (min.)=20.484050 | Size (MB)=198.578100 | Dead time (%)=23.379156 | Start Date=8-SEP-2011 01:56:11.00 | End Date=8-SEP-2011 02:16:26.00 | Comments=Gains Si: 4 partout | 
26 | Buffers=12707 | Events=1117106 | Faraday 1=0 | PRG23=0 | DEC=1358565 | FC=1117113 | OK=1117113 | FT=1117113 | AVL=0 | OCD=1117113 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=230054 | Gene TM=54089 | Gene MARQ=0 | OA=1117113 | RAZ=1117114 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Length (min.)=20.574317 | Size (MB)=198.546900 | Dead time (%)=23.511436 | Start Date=8-SEP-2011 02:16:26.00 | End Date=8-SEP-2011 02:37:13.00 | Comments=Gains Si: 4 partout | 
27 | Buffers=12706 | Events=1116626 | Faraday 1=0 | PRG23=0 | DEC=1356927 | FC=1116546 | OK=1116545 | FT=1116545 | AVL=0 | OCD=1116545 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=230316 | Gene TM=53801 | Gene MARQ=0 | OA=1116545 | RAZ=1116545 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Length (min.)=20.569800 | Size (MB)=198.531200 | Dead time (%)=23.359646 | Start Date=8-SEP-2011 02:37:13.00 | End Date=8-SEP-2011 02:58:00.00 | Comments=Gains Si: 4 partout | 
28 | Buffers=12708 | Events=1117445 | Faraday 1=0 | PRG23=0 | DEC=1358909 | FC=1117788 | OK=1117788 | FT=1117788 | AVL=0 | OCD=1117788 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=230698 | Gene TM=53573 | Gene MARQ=0 | OA=1117788 | RAZ=1117788 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Length (min.)=20.555117 | Size (MB)=198.562500 | Dead time (%)=23.222134 | Start Date=8-SEP-2011 02:58:02.00 | End Date=8-SEP-2011 03:18:19.00 | Comments=Gains Si: 4 partout | 
29 | Buffers=12709 | Events=1116913 | Faraday 1=0 | PRG23=0 | DEC=1357880 | FC=1117290 | OK=1117290 | FT=1117290 | AVL=0 | OCD=1117290 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=230723 | Gene TM=53825 | Gene MARQ=0 | OA=1117290 | RAZ=1117291 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Length (min.)=20.616250 | Size (MB)=198.578100 | Dead time (%)=23.328840 | Start Date=8-SEP-2011 03:18:19.00 | End Date=8-SEP-2011 03:39:08.00 | Comments=Gains Si: 4 partout | 
30 | Buffers=12707 | Events=1116805 | Faraday 1=0 | PRG23=0 | DEC=1355550 | FC=1116243 | OK=1116243 | FT=1116243 | AVL=0 | OCD=1116243 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=230148 | Gene TM=53392 | Gene MARQ=0 | OA=1116243 | RAZ=1116244 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Length (min.)=20.575533 | Size (MB)=198.546900 | Dead time (%)=23.198984 | Start Date=8-SEP-2011 03:39:08.00 | End Date=8-SEP-2011 03:59:25.00 | Comments=Gains Si: 4 partout | 
31 | Buffers=12707 | Events=1117110 | Faraday 1=0 | PRG23=0 | DEC=1357260 | FC=1117103 | OK=1117103 | FT=1117103 | AVL=0 | OCD=1117103 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=230434 | Gene TM=53537 | Gene MARQ=0 | OA=1117103 | RAZ=1117104 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Length (min.)=20.529733 | Size (MB)=198.546900 | Dead time (%)=23.233116 | Start Date=8-SEP-2011 03:59:27.00 | End Date=8-SEP-2011 04:20:13.00 | Comments=Gains Si: 4 partout | 
32 | Buffers=12707 | Events=1117205 | Faraday 1=0 | PRG23=0 | DEC=1357354 | FC=1117226 | OK=1117226 | FT=1117226 | AVL=0 | OCD=1117226 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=230448 | Gene TM=53232 | Gene MARQ=0 | OA=1117226 | RAZ=1117226 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Length (min.)=20.530183 | Size (MB)=198.546900 | Dead time (%)=23.099354 | Start Date=8-SEP-2011 04:20:15.00 | End Date=8-SEP-2011 04:41:01.00 | Comments=Gains Si: 4 partout | 
33 | Buffers=12707 | Events=1116916 | Faraday 1=0 | PRG23=0 | DEC=1357836 | FC=1116910 | OK=1116910 | FT=1116910 | AVL=0 | OCD=1116910 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=230704 | Gene TM=53585 | Gene MARQ=0 | OA=1116910 | RAZ=1116910 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Length (min.)=20.627500 | Size (MB)=198.546900 | Dead time (%)=23.226732 | Start Date=8-SEP-2011 04:41:01.00 | End Date=8-SEP-2011 05:01:20.00 | Comments=Gains Si: 4 partout | 
34 | Buffers=12708 | Events=1117583 | Faraday 1=0 | PRG23=0 | DEC=1359800 | FC=1117974 | OK=1117971 | FT=1117971 | AVL=0 | OCD=1117971 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=230134 | Gene TM=53678 | Gene MARQ=0 | OA=1117971 | RAZ=1117971 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Length (min.)=20.505250 | Size (MB)=198.562500 | Dead time (%)=23.324671 | Start Date=8-SEP-2011 05:01:22.00 | End Date=8-SEP-2011 05:22:07.00 | Comments=Gains Si: 4 partout | 
35 | Buffers=12706 | Events=1116980 | Faraday 1=0 | PRG23=0 | DEC=1359036 | FC=1116581 | OK=1116581 | FT=1116581 | AVL=0 | OCD=1116581 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=229883 | Gene TM=53431 | Gene MARQ=0 | OA=1116581 | RAZ=1116581 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Length (min.)=20.531567 | Size (MB)=198.531200 | Dead time (%)=23.242693 | Start Date=8-SEP-2011 05:22:08.00 | End Date=8-SEP-2011 05:42:24.00 | Comments=Gains Si: 4 partout | 
36 | Buffers=12706 | Events=1116918 | Faraday 1=0 | PRG23=0 | DEC=1357456 | FC=1116911 | OK=1116911 | FT=1116911 | AVL=0 | OCD=1116911 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=229847 | Gene TM=53618 | Gene MARQ=0 | OA=1116911 | RAZ=1116912 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Length (min.)=20.489050 | Size (MB)=198.531200 | Dead time (%)=23.327692 | Start Date=8-SEP-2011 05:42:25.00 | End Date=8-SEP-2011 06:03:10.00 | Comments=Gains Si: 4 partout | 
37 | Buffers=12706 | Events=1117032 | Faraday 1=0 | PRG23=0 | DEC=1357748 | FC=1117026 | OK=1117026 | FT=1117026 | AVL=0 | OCD=1117026 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=230700 | Gene TM=53696 | Gene MARQ=0 | OA=1117026 | RAZ=1117027 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Length (min.)=20.554533 | Size (MB)=198.531200 | Dead time (%)=23.275249 | Start Date=8-SEP-2011 06:03:11.00 | End Date=8-SEP-2011 06:23:27.00 | Comments=Gains Si: 4 partout | 
38 | Buffers=12709 | Events=1117501 | Faraday 1=0 | PRG23=0 | DEC=1358291 | FC=1117912 | OK=1117912 | FT=1117912 | AVL=0 | OCD=1117912 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=231168 | Gene TM=53453 | Gene MARQ=0 | OA=1117912 | RAZ=1117913 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Length (min.)=20.613517 | Size (MB)=198.578100 | Dead time (%)=23.123011 | Start Date=8-SEP-2011 06:23:30.00 | End Date=8-SEP-2011 06:44:18.00 | Comments=Gains Si: 4 partout | 
39 | Buffers=12708 | Events=1117023 | Faraday 1=0 | PRG23=0 | DEC=1358363 | FC=1116713 | OK=1116713 | FT=1116713 | AVL=0 | OCD=1116713 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=230281 | Gene TM=53903 | Gene MARQ=0 | OA=1116713 | RAZ=1116714 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Length (min.)=20.579300 | Size (MB)=198.562500 | Dead time (%)=23.407490 | Start Date=8-SEP-2011 06:44:18.00 | End Date=8-SEP-2011 07:05:05.00 | Comments=Gains Si: 4 partout | 
40 | Buffers=12708 | Events=1117220 | Faraday 1=0 | PRG23=0 | DEC=1360884 | FC=1117823 | OK=1117823 | FT=1117823 | AVL=0 | OCD=1117823 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=229976 | Gene TM=53617 | Gene MARQ=0 | OA=1117823 | RAZ=1117824 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Length (min.)=20.570017 | Size (MB)=198.562500 | Dead time (%)=23.314173 | Start Date=8-SEP-2011 07:05:06.00 | End Date=8-SEP-2011 07:25:23.00 | Comments=Gains Si: 4 partout | 
41 | Buffers=12709 | Events=1117200 | Faraday 1=0 | PRG23=0 | DEC=1360408 | FC=1117310 | OK=1117310 | FT=1117310 | AVL=0 | OCD=1117310 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=229170 | Gene TM=53403 | Gene MARQ=0 | OA=1117310 | RAZ=1117311 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Length (min.)=20.498167 | Size (MB)=198.578100 | Dead time (%)=23.302788 | Start Date=8-SEP-2011 07:25:23.00 | End Date=8-SEP-2011 07:46:08.00 | Comments=Gains Si: 4 partout | 
42 | Buffers=12708 | Events=1116972 | Faraday 1=0 | PRG23=0 | DEC=1359286 | FC=1116485 | OK=1116485 | FT=1116485 | AVL=0 | OCD=1116485 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=228911 | Gene TM=53504 | Gene MARQ=0 | OA=1116485 | RAZ=1116486 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Length (min.)=20.476733 | Size (MB)=198.562500 | Dead time (%)=23.373276 | Start Date=8-SEP-2011 07:46:08.00 | End Date=8-SEP-2011 08:06:22.00 | Comments=Gains Si: 4 partout | 
43 | Buffers=12708 | Events=1117175 | Faraday 1=0 | PRG23=0 | DEC=1359778 | FC=1117521 | OK=1117521 | FT=1117521 | AVL=0 | OCD=1117521 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=228940 | Gene TM=53920 | Gene MARQ=0 | OA=1117521 | RAZ=1117522 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Length (min.)=20.470667 | Size (MB)=198.562500 | Dead time (%)=23.552023 | Start Date=8-SEP-2011 08:06:22.00 | End Date=8-SEP-2011 08:27:06.00 | Comments=Gains Si: 4 partout | 
44 | Buffers=12708 | Events=1117085 | Faraday 1=0 | PRG23=0 | DEC=1360657 | FC=1116659 | OK=1116659 | FT=1116659 | AVL=0 | OCD=1116659 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=228354 | Gene TM=53078 | Gene MARQ=0 | OA=1116659 | RAZ=1116659 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Length (min.)=20.409383 | Size (MB)=198.562500 | Dead time (%)=23.243736 | Start Date=8-SEP-2011 08:27:07.00 | End Date=8-SEP-2011 08:47:19.00 | Comments=Gains Si: 4 partout | 
45 | Buffers=12708 | Events=1117448 | Faraday 1=0 | PRG23=0 | DEC=1363250 | FC=1117519 | OK=1117519 | FT=1117519 | AVL=0 | OCD=1117519 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=227820 | Gene TM=53379 | Gene MARQ=0 | OA=1117519 | RAZ=1117520 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Length (min.)=20.312750 | Size (MB)=198.562500 | Dead time (%)=23.430340 | Start Date=8-SEP-2011 08:47:21.00 | End Date=8-SEP-2011 09:08:01.00 | Comments=Gains Si: 4 partout | 
