1 | Buffers=12708 | Events=1117085 | Faraday 1=0 | PRG23=0 | DEC=1360657 | FC=1116659 | OK=1116659 | FT=1116659 | AVL=0 | OCD=1116659 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=228354 | Gene TM=53078 | Gene MARQ=0 | OA=1116659 | RAZ=1116659 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Trigger multiplicity=1 | Length (min.)=20.409383 | Size (MB)=198.562500 | Dead time (%)=23.243736 | Start Date=8-SEP-2011 08:27:07.00 | End Date=8-SEP-2011 08:47:19.00 | Comments=Gains Si: 4 partout |
12 | Buffers=12708 | Events=1117085 | Faraday 1=0 | PRG23=0 | DEC=1360657 | FC=1116659 | OK=1116659 | FT=1116659 | AVL=0 | OCD=1116659 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=228354 | Gene TM=53078 | Gene MARQ=0 | OA=1116659 | RAZ=1116659 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Trigger multiplicity=1 | Length (min.)=20.409383 | Size (MB)=198.562500 | Dead time (%)=23.243736 | Start Date=8-SEP-2011 08:27:07.00 | End Date=8-SEP-2011 08:47:19.00 | Comments=Gains Si: 4 partout |
13 | Buffers=12708 | Events=1117085 | Faraday 1=0 | PRG23=0 | DEC=1360657 | FC=1116659 | OK=1116659 | FT=1116659 | AVL=0 | OCD=1116659 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=228354 | Gene TM=53078 | Gene MARQ=0 | OA=1116659 | RAZ=1116659 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Trigger multiplicity=1 | Length (min.)=20.409383 | Size (MB)=198.562500 | Dead time (%)=23.243736 | Start Date=8-SEP-2011 08:27:07.00 | End Date=8-SEP-2011 08:47:19.00 | Comments=Gains Si: 4 partout |
14 | Buffers=12708 | Events=1117085 | Faraday 1=0 | PRG23=0 | DEC=1360657 | FC=1116659 | OK=1116659 | FT=1116659 | AVL=0 | OCD=1116659 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=228354 | Gene TM=53078 | Gene MARQ=0 | OA=1116659 | RAZ=1116659 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Trigger multiplicity=1 | Length (min.)=20.409383 | Size (MB)=198.562500 | Dead time (%)=23.243736 | Start Date=8-SEP-2011 08:27:07.00 | End Date=8-SEP-2011 08:47:19.00 | Comments=Gains Si: 4 partout |
15 | Buffers=12708 | Events=1117085 | Faraday 1=0 | PRG23=0 | DEC=1360657 | FC=1116659 | OK=1116659 | FT=1116659 | AVL=0 | OCD=1116659 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=228354 | Gene TM=53078 | Gene MARQ=0 | OA=1116659 | RAZ=1116659 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Trigger multiplicity=1 | Length (min.)=20.409383 | Size (MB)=198.562500 | Dead time (%)=23.243736 | Start Date=8-SEP-2011 08:27:07.00 | End Date=8-SEP-2011 08:47:19.00 | Comments=Gains Si: 4 partout |
16 | Buffers=12708 | Events=1117085 | Faraday 1=0 | PRG23=0 | DEC=1360657 | FC=1116659 | OK=1116659 | FT=1116659 | AVL=0 | OCD=1116659 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=228354 | Gene TM=53078 | Gene MARQ=0 | OA=1116659 | RAZ=1116659 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Trigger multiplicity=1 | Length (min.)=20.409383 | Size (MB)=198.562500 | Dead time (%)=23.243736 | Start Date=8-SEP-2011 08:27:07.00 | End Date=8-SEP-2011 08:47:19.00 | Comments=Gains Si: 4 partout |
17 | Buffers=12708 | Events=1117085 | Faraday 1=0 | PRG23=0 | DEC=1360657 | FC=1116659 | OK=1116659 | FT=1116659 | AVL=0 | OCD=1116659 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=228354 | Gene TM=53078 | Gene MARQ=0 | OA=1116659 | RAZ=1116659 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Trigger multiplicity=1 | Length (min.)=20.409383 | Size (MB)=198.562500 | Dead time (%)=23.243736 | Start Date=8-SEP-2011 08:27:07.00 | End Date=8-SEP-2011 08:47:19.00 | Comments=Gains Si: 4 partout |
18 | Buffers=12708 | Events=1117085 | Faraday 1=0 | PRG23=0 | DEC=1360657 | FC=1116659 | OK=1116659 | FT=1116659 | AVL=0 | OCD=1116659 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=228354 | Gene TM=53078 | Gene MARQ=0 | OA=1116659 | RAZ=1116659 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Trigger multiplicity=1 | Length (min.)=20.409383 | Size (MB)=198.562500 | Dead time (%)=23.243736 | Start Date=8-SEP-2011 08:27:07.00 | End Date=8-SEP-2011 08:47:19.00 | Comments=Gains Si: 4 partout |
19 | Buffers=12708 | Events=1117085 | Faraday 1=0 | PRG23=0 | DEC=1360657 | FC=1116659 | OK=1116659 | FT=1116659 | AVL=0 | OCD=1116659 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=228354 | Gene TM=53078 | Gene MARQ=0 | OA=1116659 | RAZ=1116659 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Trigger multiplicity=1 | Length (min.)=20.409383 | Size (MB)=198.562500 | Dead time (%)=23.243736 | Start Date=8-SEP-2011 08:27:07.00 | End Date=8-SEP-2011 08:47:19.00 | Comments=Gains Si: 4 partout |
20 | Buffers=12708 | Events=1117085 | Faraday 1=0 | PRG23=0 | DEC=1360657 | FC=1116659 | OK=1116659 | FT=1116659 | AVL=0 | OCD=1116659 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=228354 | Gene TM=53078 | Gene MARQ=0 | OA=1116659 | RAZ=1116659 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Trigger multiplicity=1 | Length (min.)=20.409383 | Size (MB)=198.562500 | Dead time (%)=23.243736 | Start Date=8-SEP-2011 08:27:07.00 | End Date=8-SEP-2011 08:47:19.00 | Comments=Gains Si: 4 partout |
21 | Buffers=12708 | Events=1117085 | Faraday 1=0 | PRG23=0 | DEC=1360657 | FC=1116659 | OK=1116659 | FT=1116659 | AVL=0 | OCD=1116659 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=228354 | Gene TM=53078 | Gene MARQ=0 | OA=1116659 | RAZ=1116659 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Trigger multiplicity=1 | Length (min.)=20.409383 | Size (MB)=198.562500 | Dead time (%)=23.243736 | Start Date=8-SEP-2011 08:27:07.00 | End Date=8-SEP-2011 08:47:19.00 | Comments=Gains Si: 4 partout |
32 | Buffers=12708 | Events=1117085 | Faraday 1=0 | PRG23=0 | DEC=1360657 | FC=1116659 | OK=1116659 | FT=1116659 | AVL=0 | OCD=1116659 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=228354 | Gene TM=53078 | Gene MARQ=0 | OA=1116659 | RAZ=1116659 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Trigger multiplicity=1 | Length (min.)=20.409383 | Size (MB)=198.562500 | Dead time (%)=23.243736 | Start Date=8-SEP-2011 08:27:07.00 | End Date=8-SEP-2011 08:47:19.00 | Comments=Gains Si: 4 partout |
33 | Buffers=12708 | Events=1117085 | Faraday 1=0 | PRG23=0 | DEC=1360657 | FC=1116659 | OK=1116659 | FT=1116659 | AVL=0 | OCD=1116659 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=228354 | Gene TM=53078 | Gene MARQ=0 | OA=1116659 | RAZ=1116659 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Trigger multiplicity=1 | Length (min.)=20.409383 | Size (MB)=198.562500 | Dead time (%)=23.243736 | Start Date=8-SEP-2011 08:27:07.00 | End Date=8-SEP-2011 08:47:19.00 | Comments=Gains Si: 4 partout |
34 | Buffers=12708 | Events=1117085 | Faraday 1=0 | PRG23=0 | DEC=1360657 | FC=1116659 | OK=1116659 | FT=1116659 | AVL=0 | OCD=1116659 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=228354 | Gene TM=53078 | Gene MARQ=0 | OA=1116659 | RAZ=1116659 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Trigger multiplicity=1 | Length (min.)=20.409383 | Size (MB)=198.562500 | Dead time (%)=23.243736 | Start Date=8-SEP-2011 08:27:07.00 | End Date=8-SEP-2011 08:47:19.00 | Comments=Gains Si: 4 partout |
35 | Buffers=12708 | Events=1117085 | Faraday 1=0 | PRG23=0 | DEC=1360657 | FC=1116659 | OK=1116659 | FT=1116659 | AVL=0 | OCD=1116659 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=228354 | Gene TM=53078 | Gene MARQ=0 | OA=1116659 | RAZ=1116659 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Trigger multiplicity=1 | Length (min.)=20.409383 | Size (MB)=198.562500 | Dead time (%)=23.243736 | Start Date=8-SEP-2011 08:27:07.00 | End Date=8-SEP-2011 08:47:19.00 | Comments=Gains Si: 4 partout |
36 | Buffers=12708 | Events=1117085 | Faraday 1=0 | PRG23=0 | DEC=1360657 | FC=1116659 | OK=1116659 | FT=1116659 | AVL=0 | OCD=1116659 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=228354 | Gene TM=53078 | Gene MARQ=0 | OA=1116659 | RAZ=1116659 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Trigger multiplicity=1 | Length (min.)=20.409383 | Size (MB)=198.562500 | Dead time (%)=23.243736 | Start Date=8-SEP-2011 08:27:07.00 | End Date=8-SEP-2011 08:47:19.00 | Comments=Gains Si: 4 partout |
37 | Buffers=12708 | Events=1117085 | Faraday 1=0 | PRG23=0 | DEC=1360657 | FC=1116659 | OK=1116659 | FT=1116659 | AVL=0 | OCD=1116659 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=228354 | Gene TM=53078 | Gene MARQ=0 | OA=1116659 | RAZ=1116659 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Trigger multiplicity=1 | Length (min.)=20.409383 | Size (MB)=198.562500 | Dead time (%)=23.243736 | Start Date=8-SEP-2011 08:27:07.00 | End Date=8-SEP-2011 08:47:19.00 | Comments=Gains Si: 4 partout |
38 | Buffers=12708 | Events=1117085 | Faraday 1=0 | PRG23=0 | DEC=1360657 | FC=1116659 | OK=1116659 | FT=1116659 | AVL=0 | OCD=1116659 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=228354 | Gene TM=53078 | Gene MARQ=0 | OA=1116659 | RAZ=1116659 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Trigger multiplicity=1 | Length (min.)=20.409383 | Size (MB)=198.562500 | Dead time (%)=23.243736 | Start Date=8-SEP-2011 08:27:07.00 | End Date=8-SEP-2011 08:47:19.00 | Comments=Gains Si: 4 partout |
39 | Buffers=12708 | Events=1117085 | Faraday 1=0 | PRG23=0 | DEC=1360657 | FC=1116659 | OK=1116659 | FT=1116659 | AVL=0 | OCD=1116659 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=228354 | Gene TM=53078 | Gene MARQ=0 | OA=1116659 | RAZ=1116659 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Trigger multiplicity=1 | Length (min.)=20.409383 | Size (MB)=198.562500 | Dead time (%)=23.243736 | Start Date=8-SEP-2011 08:27:07.00 | End Date=8-SEP-2011 08:47:19.00 | Comments=Gains Si: 4 partout |
40 | Buffers=12708 | Events=1117085 | Faraday 1=0 | PRG23=0 | DEC=1360657 | FC=1116659 | OK=1116659 | FT=1116659 | AVL=0 | OCD=1116659 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=228354 | Gene TM=53078 | Gene MARQ=0 | OA=1116659 | RAZ=1116659 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Trigger multiplicity=1 | Length (min.)=20.409383 | Size (MB)=198.562500 | Dead time (%)=23.243736 | Start Date=8-SEP-2011 08:27:07.00 | End Date=8-SEP-2011 08:47:19.00 | Comments=Gains Si: 4 partout |
41 | Buffers=12708 | Events=1117085 | Faraday 1=0 | PRG23=0 | DEC=1360657 | FC=1116659 | OK=1116659 | FT=1116659 | AVL=0 | OCD=1116659 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=228354 | Gene TM=53078 | Gene MARQ=0 | OA=1116659 | RAZ=1116659 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Trigger multiplicity=1 | Length (min.)=20.409383 | Size (MB)=198.562500 | Dead time (%)=23.243736 | Start Date=8-SEP-2011 08:27:07.00 | End Date=8-SEP-2011 08:47:19.00 | Comments=Gains Si: 4 partout |
42 | Buffers=12708 | Events=1117085 | Faraday 1=0 | PRG23=0 | DEC=1360657 | FC=1116659 | OK=1116659 | FT=1116659 | AVL=0 | OCD=1116659 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=228354 | Gene TM=53078 | Gene MARQ=0 | OA=1116659 | RAZ=1116659 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Trigger multiplicity=1 | Length (min.)=20.409383 | Size (MB)=198.562500 | Dead time (%)=23.243736 | Start Date=8-SEP-2011 08:27:07.00 | End Date=8-SEP-2011 08:47:19.00 | Comments=Gains Si: 4 partout |
43 | Buffers=12708 | Events=1117085 | Faraday 1=0 | PRG23=0 | DEC=1360657 | FC=1116659 | OK=1116659 | FT=1116659 | AVL=0 | OCD=1116659 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=228354 | Gene TM=53078 | Gene MARQ=0 | OA=1116659 | RAZ=1116659 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Trigger multiplicity=1 | Length (min.)=20.409383 | Size (MB)=198.562500 | Dead time (%)=23.243736 | Start Date=8-SEP-2011 08:27:07.00 | End Date=8-SEP-2011 08:47:19.00 | Comments=Gains Si: 4 partout |
44 | Buffers=12708 | Events=1117085 | Faraday 1=0 | PRG23=0 | DEC=1360657 | FC=1116659 | OK=1116659 | FT=1116659 | AVL=0 | OCD=1116659 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=228354 | Gene TM=53078 | Gene MARQ=0 | OA=1116659 | RAZ=1116659 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Trigger multiplicity=1 | Length (min.)=20.409383 | Size (MB)=198.562500 | Dead time (%)=23.243736 | Start Date=8-SEP-2011 08:27:07.00 | End Date=8-SEP-2011 08:47:19.00 | Comments=Gains Si: 4 partout |
50 | Buffers=12708 | Events=1117085 | Faraday 1=0 | PRG23=0 | DEC=1360657 | FC=1116659 | OK=1116659 | FT=1116659 | AVL=0 | OCD=1116659 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=228354 | Gene TM=53078 | Gene MARQ=0 | OA=1116659 | RAZ=1116659 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Trigger multiplicity=1 | Length (min.)=20.409383 | Size (MB)=198.562500 | Dead time (%)=23.243736 | Start Date=8-SEP-2011 08:27:07.00 | End Date=8-SEP-2011 08:47:19.00 | Comments=Gains Si: 4 partout |
51 | Buffers=12708 | Events=1117085 | Faraday 1=0 | PRG23=0 | DEC=1360657 | FC=1116659 | OK=1116659 | FT=1116659 | AVL=0 | OCD=1116659 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=228354 | Gene TM=53078 | Gene MARQ=0 | OA=1116659 | RAZ=1116659 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Trigger multiplicity=1 | Length (min.)=20.409383 | Size (MB)=198.562500 | Dead time (%)=23.243736 | Start Date=8-SEP-2011 08:27:07.00 | End Date=8-SEP-2011 08:47:19.00 | Comments=Gains Si: 4 partout |
52 | Buffers=12708 | Events=1117085 | Faraday 1=0 | PRG23=0 | DEC=1360657 | FC=1116659 | OK=1116659 | FT=1116659 | AVL=0 | OCD=1116659 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=228354 | Gene TM=53078 | Gene MARQ=0 | OA=1116659 | RAZ=1116659 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Trigger multiplicity=1 | Length (min.)=20.409383 | Size (MB)=198.562500 | Dead time (%)=23.243736 | Start Date=8-SEP-2011 08:27:07.00 | End Date=8-SEP-2011 08:47:19.00 | Comments=Gains Si: 4 partout |
53 | Buffers=12708 | Events=1117085 | Faraday 1=0 | PRG23=0 | DEC=1360657 | FC=1116659 | OK=1116659 | FT=1116659 | AVL=0 | OCD=1116659 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=228354 | Gene TM=53078 | Gene MARQ=0 | OA=1116659 | RAZ=1116659 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Trigger multiplicity=1 | Length (min.)=20.409383 | Size (MB)=198.562500 | Dead time (%)=23.243736 | Start Date=8-SEP-2011 08:27:07.00 | End Date=8-SEP-2011 08:47:19.00 | Comments=Gains Si: 4 partout |
54 | Buffers=12708 | Events=1117085 | Faraday 1=0 | PRG23=0 | DEC=1360657 | FC=1116659 | OK=1116659 | FT=1116659 | AVL=0 | OCD=1116659 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=228354 | Gene TM=53078 | Gene MARQ=0 | OA=1116659 | RAZ=1116659 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Trigger multiplicity=1 | Length (min.)=20.409383 | Size (MB)=198.562500 | Dead time (%)=23.243736 | Start Date=8-SEP-2011 08:27:07.00 | End Date=8-SEP-2011 08:47:19.00 | Comments=Gains Si: 4 partout |
55 | Buffers=12708 | Events=1117085 | Faraday 1=0 | PRG23=0 | DEC=1360657 | FC=1116659 | OK=1116659 | FT=1116659 | AVL=0 | OCD=1116659 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=228354 | Gene TM=53078 | Gene MARQ=0 | OA=1116659 | RAZ=1116659 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Trigger multiplicity=1 | Length (min.)=20.409383 | Size (MB)=198.562500 | Dead time (%)=23.243736 | Start Date=8-SEP-2011 08:27:07.00 | End Date=8-SEP-2011 08:47:19.00 | Comments=Gains Si: 4 partout |
56 | Buffers=12708 | Events=1117085 | Faraday 1=0 | PRG23=0 | DEC=1360657 | FC=1116659 | OK=1116659 | FT=1116659 | AVL=0 | OCD=1116659 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=228354 | Gene TM=53078 | Gene MARQ=0 | OA=1116659 | RAZ=1116659 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Trigger multiplicity=1 | Length (min.)=20.409383 | Size (MB)=198.562500 | Dead time (%)=23.243736 | Start Date=8-SEP-2011 08:27:07.00 | End Date=8-SEP-2011 08:47:19.00 | Comments=Gains Si: 4 partout |
57 | Buffers=12708 | Events=1117085 | Faraday 1=0 | PRG23=0 | DEC=1360657 | FC=1116659 | OK=1116659 | FT=1116659 | AVL=0 | OCD=1116659 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=228354 | Gene TM=53078 | Gene MARQ=0 | OA=1116659 | RAZ=1116659 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Trigger multiplicity=1 | Length (min.)=20.409383 | Size (MB)=198.562500 | Dead time (%)=23.243736 | Start Date=8-SEP-2011 08:27:07.00 | End Date=8-SEP-2011 08:47:19.00 | Comments=Gains Si: 4 partout |
58 | Buffers=12708 | Events=1117085 | Faraday 1=0 | PRG23=0 | DEC=1360657 | FC=1116659 | OK=1116659 | FT=1116659 | AVL=0 | OCD=1116659 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=228354 | Gene TM=53078 | Gene MARQ=0 | OA=1116659 | RAZ=1116659 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Trigger multiplicity=1 | Length (min.)=20.409383 | Size (MB)=198.562500 | Dead time (%)=23.243736 | Start Date=8-SEP-2011 08:27:07.00 | End Date=8-SEP-2011 08:47:19.00 | Comments=Gains Si: 4 partout |
