# Runlist.csv file written by KVINDRADB5::WriteRunListFile on Thu Jun 11 11:24:50 2009
Version=10
6004 | Events=119691 | Faraday 1=33794 | Buffers=12108 | Gene DIRECT=3410361 | Gene MARQ=1436884 | Gene TM=875538 | Trigger multiplicity=1 | Dead time (%)=44.365250 | Length (min.)=47.000000 | Comments=Run Automate  Si | Start Date=03/04/2001 05:43:00 | 
6005 | Events=240432 | Faraday 1=42580 | Buffers=5808 | Gene DIRECT=4400037 | Gene MARQ=2424019 | Gene TM=875538 | Trigger multiplicity=1 | Dead time (%)=44.308201 | Length (min.)=89.000000 | Comments=Run Automate  Chio | Start Date=03/04/2001 06:30:00 | 
6006 | Events=783459 | Faraday 1=870271 | Buffers=5797 | Gene DIRECT=5981743 | Gene MARQ=3366087 | Gene TM=1108366 | Trigger multiplicity=1 | Dead time (%)=42.374302 | Length (min.)=5.000000 | Comments=seuil Si 5.8 augmenté | Start Date=03/04/2001 10:15:00 | Logbook=c12p54 | 
6007 | Events=1606811 | Faraday 1=876406 | Buffers=12117 | Gene DIRECT=6130412 | Gene MARQ=3375582 | Gene TM=1214468 | Trigger multiplicity=1 | Dead time (%)=44.085045 | Length (min.)=11.000000 | Comments=Gain 150 Mu comme les autres | Start Date=03/04/2001 10:23:00 | Logbook=C12P55 | 
6008 | Events=994460 | Faraday 1=879907 | Buffers=7286 | Gene DIRECT=6211811 | Gene MARQ=3378757 | Gene TM=1271312 | Trigger multiplicity=1 | Dead time (%)=44.874260 | Length (min.)=7.000000 | Start Date=03/04/2001 10:34:00 | 
6009 | Events=560792 | Faraday 1=885264 | Buffers=4100 | Gene DIRECT=6617847 | Gene MARQ=3394576 | Gene TM=1367004 | Trigger multiplicity=1 | Dead time (%)=42.410458 | Length (min.)=5.000000 | Comments=Tous les Gains standard INDRA+Entrée 2 du Gr 1 Trigger fermé | Start Date=03/04/2001 11:13:00 | 
6010 | Events=1398343 | Faraday 1=890423 | Buffers=12117 | Gene DIRECT=6759193 | Gene MARQ=3404057 | Gene TM=1419780 | Trigger multiplicity=1 | Dead time (%)=42.316616 | Length (min.)=12.000000 | Comments=Tous les détecteurs démasqués | Start Date=03/04/2001 11:18:00 | 
6011 | Events=1431908 | Faraday 1=895688 | Buffers=12117 | Gene DIRECT=6889091 | Gene MARQ=3410404 | Gene TM=1462232 | Trigger multiplicity=1 | Dead time (%)=42.034019 | Length (min.)=12.000000 | Start Date=03/04/2001 11:30:00 | 
6012 | Events=1328009 | Faraday 1=900583 | Buffers=11291 | Gene DIRECT=7008754 | Gene MARQ=3416721 | Gene TM=1501119 | Trigger multiplicity=1 | Dead time (%)=41.790234 | Length (min.)=10.000000 | Start Date=03/04/2001 11:42:00 | 
6013 | Events=148009 | Faraday 1=903017 | Buffers=1201 | Gene DIRECT=7067171 | Gene MARQ=3419895 | Gene TM=1549720 | Trigger multiplicity=1 | Dead time (%)=42.489792 | Length (min.)=2.000000 | Comments=Remise de la config masquée(Csi masqués sauf C10. Chios démasquées)-entrée 3 gr 1 otée du trigger | Start Date=03/04/2001 11:56:00 | 
6014 | Events=1241222 | Faraday 1=916256 | Buffers=12108 | Gene DIRECT=7467330 | Gene MARQ=3442055 | Gene TM=1585881 | Trigger multiplicity=1 | Dead time (%)=39.398079 | Length (min.)=35.000000 | Comments=Couronne 6-10 en déclenchement - 10 mn interruption HF | Start Date=03/04/2001 11:58:00 | 
6015 | Events=660775 | Faraday 1=923137 | Buffers=6539 | Gene DIRECT=7639079 | Gene MARQ=3451543 | Gene TM=1602481 | Trigger multiplicity=1 | Dead time (%)=38.267876 | Length (min.)=15.000000 | Start Date=03/04/2001 12:34:00 | 
6016 | Events=1216170 | Faraday 1=935753 | Buffers=12109 | Gene DIRECT=8070116 | Gene MARQ=3476885 | Gene TM=1656542 | Trigger multiplicity=1 | Dead time (%)=36.064854 | Length (min.)=36.000000 | Comments=Couronne 11 | Start Date=03/04/2001 12:51:00 | 
6017 | Events=1210606 | Faraday 1=947889 | Buffers=12108 | Gene DIRECT=8399090 | Gene MARQ=3495894 | Gene TM=1686287 | Trigger multiplicity=1 | Dead time (%)=34.391590 | Length (min.)=30.000000 | Comments=Couronne 11 | Start Date=03/04/2001 13:27:00 | 
6018 | Events=186015 | Faraday 1=949775 | Buffers=1802 | Gene DIRECT=8442591 | Gene MARQ=3497060 | Gene TM=1691843 | Trigger multiplicity=1 | Dead time (%)=34.209534 | Length (min.)=4.000000 | Comments=Couronne 11 | Start Date=03/04/2001 14:01:00 | 
6019 | Events=262184 | Faraday 1=1774 | Buffers=10837 | Gene DIRECT=115128 | Gene MARQ=7477 | Gene TM=41112 | Trigger multiplicity=3 | Dead time (%)=38.190079 | Length (min.)=9.000000 | Start Date=05/04/2001 02:12:00 | 
6020 | Events=243757 | Faraday 1=2026 | Buffers=12115 | Gene DIRECT=132263 | Gene MARQ=6321 | Gene TM=40385 | Trigger multiplicity=4 | Dead time (%)=32.066349 | Length (min.)=12.000000 | 
6044 | Events=37342 | Faraday 1=249 | Buffers=1832 | Gene DIRECT=38909 | Gene MARQ=3166 | Gene TM=4642 | Trigger multiplicity=4 | Dead time (%)=12.987159 | Length (min.)=4.000000 | 
6045 | Events=244472 | Faraday 1=1744 | Buffers=12115 | Gene DIRECT=117467 | Gene MARQ=6332 | Gene TM=24405 | Trigger multiplicity=4 | Dead time (%)=21.959778 | Length (min.)=10.000000 | 
6046 | Events=246305 | Faraday 1=1657 | Buffers=12110 | Gene DIRECT=157883 | Gene MARQ=9492 | Gene TM=27067 | Trigger multiplicity=4 | Dead time (%)=18.240324 | Length (min.)=14.000000 | 
6047 | Events=246927 | Faraday 1=1537 | Buffers=12113 | Gene DIRECT=162062 | Gene MARQ=9484 | Gene TM=18048 | Trigger multiplicity=4 | Dead time (%)=11.828704 | Length (min.)=14.000000 | 
6048 | Events=250382 | Faraday 1=1530 | Buffers=12112 | Gene DIRECT=180707 | Gene MARQ=9487 | Gene TM=20162 | Trigger multiplicity=4 | Dead time (%)=11.775494 | Length (min.)=17.000000 | 
6049 | Events=242805 | Faraday 1=1777 | Buffers=12116 | Gene DIRECT=139831 | Gene MARQ=9485 | Gene TM=25411 | Trigger multiplicity=4 | Dead time (%)=19.495037 | Length (min.)=12.000000 | 
6050 | Events=238878 | Faraday 1=2079 | Buffers=12117 | Gene DIRECT=113283 | Gene MARQ=6337 | Gene TM=34459 | Trigger multiplicity=4 | Dead time (%)=32.220936 | Length (min.)=11.000000 | 
6051 | Events=238603 | Faraday 1=1980 | Buffers=12117 | Gene DIRECT=113536 | Gene MARQ=6313 | Gene TM=31983 | Trigger multiplicity=4 | Dead time (%)=29.828487 | Length (min.)=10.000000 | 
6052 | Events=62878 | Faraday 1=573 | Buffers=3179 | Gene DIRECT=30344 | Gene MARQ=0 | Gene TM=10821 | Trigger multiplicity=4 | Dead time (%)=35.661087 | Length (min.)=3.000000 | 
6053 | Events=238079 | Faraday 1=2152 | Buffers=12119 | Gene DIRECT=125228 | Gene MARQ=6326 | Gene TM=42714 | Trigger multiplicity=4 | Dead time (%)=35.923702 | Length (min.)=11.000000 | 
6054 | Events=239908 | Faraday 1=2271 | Buffers=12117 | Gene DIRECT=134900 | Gene MARQ=6319 | Gene TM=50661 | Trigger multiplicity=4 | Dead time (%)=39.400066 | Length (min.)=12.000000 | 
6055 | Events=240919 | Faraday 1=1968 | Buffers=12114 | Gene DIRECT=130363 | Gene MARQ=9498 | Gene TM=37203 | Trigger multiplicity=4 | Dead time (%)=30.780622 | Length (min.)=12.000000 | 
6056 | Events=243316 | Faraday 1=1762 | Buffers=12119 | Gene DIRECT=129950 | Gene MARQ=6331 | Gene TM=27250 | Trigger multiplicity=4 | Dead time (%)=22.043537 | Length (min.)=12.000000 | 
6057 | Events=240941 | Faraday 1=2661 | Buffers=12117 | Gene DIRECT=128484 | Gene MARQ=6318 | Gene TM=57368 | Trigger multiplicity=4 | Dead time (%)=46.959057 | Length (min.)=12.000000 | 
6058 | Events=239215 | Faraday 1=2850 | Buffers=12118 | Gene DIRECT=126053 | Gene MARQ=6335 | Gene TM=62003 | Trigger multiplicity=4 | Dead time (%)=51.790874 | Length (min.)=11.000000 | 
6059 | Events=236665 | Faraday 1=2928 | Buffers=12028 | Gene DIRECT=126207 | Gene TM=63015 | Trigger multiplicity=4 | Dead time (%)=49.929878 | Length (min.)=11.000000 | 
6060 | Events=239812 | Faraday 1=2682 | Buffers=12117 | Gene DIRECT=124411 | Gene MARQ=6337 | Gene TM=57203 | Trigger multiplicity=4 | Dead time (%)=48.446735 | Length (min.)=11.000000 | 
6061 | Events=237780 | Faraday 1=2865 | Buffers=12118 | Gene DIRECT=121280 | Gene MARQ=6318 | Gene TM=59842 | Trigger multiplicity=4 | Dead time (%)=52.053722 | Length (min.)=11.000000 | 
6062 | Events=239440 | Faraday 1=2735 | Buffers=12118 | Gene DIRECT=128142 | Gene MARQ=6343 | Gene TM=60197 | Trigger multiplicity=4 | Dead time (%)=49.423229 | Length (min.)=10.000000 | 
6063 | Events=239706 | Faraday 1=2594 | Buffers=12116 | Gene DIRECT=136767 | Gene MARQ=9496 | Gene TM=58570 | Trigger multiplicity=4 | Dead time (%)=46.019909 | Length (min.)=13.000000 | 
6064 | Events=177752 | Faraday 1=1624 | Buffers=8742 | Gene DIRECT=96982 | Gene MARQ=3163 | Gene TM=31346 | Trigger multiplicity=4 | Dead time (%)=33.411144 | Length (min.)=9.000000 | 
6066 | Events=242779 | Faraday 1=1730 | Buffers=12127 | Gene DIRECT=90663 | Gene MARQ=6329 | Gene TM=17449 | Trigger multiplicity=4 | Dead time (%)=20.690350 | Length (min.)=8.000000 | 
6067 | Events=242143 | Faraday 1=1745 | Buffers=12111 | Gene DIRECT=85420 | Gene MARQ=3167 | Gene TM=17752 | Trigger multiplicity=4 | Dead time (%)=21.582191 | Length (min.)=8.000000 | 
6068 | Events=241368 | Faraday 1=1729 | Buffers=12113 | Gene DIRECT=91251 | Gene MARQ=6309 | Gene TM=17801 | Trigger multiplicity=4 | Dead time (%)=20.956654 | Length (min.)=8.000000 | 
6069 | Events=241136 | Faraday 1=1730 | Buffers=12109 | Gene DIRECT=89190 | Gene MARQ=5890 | Gene TM=17530 | Trigger multiplicity=4 | Dead time (%)=21.044418 | Length (min.)=8.000000 | 
6070 | Events=242715 | Faraday 1=1734 | Buffers=12112 | Gene DIRECT=87647 | Gene MARQ=3140 | Gene TM=17358 | Trigger multiplicity=4 | Dead time (%)=20.540310 | Length (min.)=8.000000 | 
6071 | Events=240803 | Faraday 1=1706 | Buffers=12110 | Gene DIRECT=90100 | Gene MARQ=6276 | Gene TM=17484 | Trigger multiplicity=4 | Dead time (%)=20.857988 | Length (min.)=8.000000 | 
6072 | Events=242999 | Faraday 1=1688 | Buffers=12113 | Gene DIRECT=93719 | Gene MARQ=3171 | Gene TM=17862 | Trigger multiplicity=4 | Dead time (%)=19.726553 | Length (min.)=9.000000 | 
6073 | Events=242461 | Faraday 1=1673 | Buffers=12113 | Gene DIRECT=102586 | Gene MARQ=6342 | Gene TM=17857 | Trigger multiplicity=4 | Dead time (%)=18.553885 | Length (min.)=9.000000 | 
6074 | Events=243584 | Faraday 1=1630 | Buffers=12111 | Gene DIRECT=109370 | Gene MARQ=6332 | Gene TM=17611 | Trigger multiplicity=4 | Dead time (%)=17.091753 | Length (min.)=10.000000 | 
6075 | Events=244610 | Faraday 1=1599 | Buffers=12110 | Gene DIRECT=119019 | Gene MARQ=6301 | Gene TM=17179 | Trigger multiplicity=4 | Dead time (%)=15.240689 | Length (min.)=10.000000 | 
6076 | Events=243849 | Faraday 1=1586 | Buffers=12116 | Gene DIRECT=130455 | Gene MARQ=9486 | Gene TM=17777 | Trigger multiplicity=4 | Dead time (%)=14.695500 | Length (min.)=12.000000 | 
6077 | Events=242455 | Faraday 1=1625 | Buffers=12114 | Gene DIRECT=111092 | Gene MARQ=6302 | Gene TM=17484 | Trigger multiplicity=4 | Dead time (%)=16.684797 | Length (min.)=10.000000 | 
6078 | Events=243698 | Faraday 1=1590 | Buffers=12111 | Gene DIRECT=124763 | Gene MARQ=6333 | Gene TM=17872 | Trigger multiplicity=4 | Dead time (%)=15.090771 | Length (min.)=11.000000 | 
6079 | Events=245823 | Faraday 1=1548 | Buffers=12110 | Gene DIRECT=143210 | Gene MARQ=6342 | Gene TM=17377 | Trigger multiplicity=4 | Dead time (%)=12.696175 | Length (min.)=11.000000 | 
6080 | Events=246385 | Faraday 1=1540 | Buffers=12112 | Gene DIRECT=158537 | Gene MARQ=9486 | Gene TM=17342 | Trigger multiplicity=4 | Dead time (%)=11.634944 | Length (min.)=14.000000 | 
6081 | Events=243547 | Faraday 1=1673 | Buffers=12111 | Gene DIRECT=92312 | Gene MARQ=6295 | Gene TM=17666 | Trigger multiplicity=4 | Dead time (%)=20.537800 | Length (min.)=9.000000 | 
6082 | Events=248908 | Faraday 1=1655 | Buffers=12109 | Gene DIRECT=169043 | Gene MARQ=9476 | Gene TM=17933 | Trigger multiplicity=4 | Dead time (%)=11.238540 | Length (min.)=15.000000 | 
6083 | Events=240948 | Faraday 1=1683 | Buffers=12115 | Gene DIRECT=98594 | Gene MARQ=6353 | Gene TM=18296 | Trigger multiplicity=4 | Dead time (%)=19.834997 | Length (min.)=9.000000 | 
6084 | Events=247277 | Faraday 1=1643 | Buffers=12113 | Gene DIRECT=177380 | Gene MARQ=9500 | Gene TM=17580 | Trigger multiplicity=4 | Dead time (%)=10.471766 | Length (min.)=16.000000 | 
6085 | Events=242479 | Faraday 1=1685 | Buffers=12113 | Gene DIRECT=95118 | Gene MARQ=3163 | Gene TM=3163 | Trigger multiplicity=4 | Dead time (%)=3.439726 | Length (min.)=8.000000 | 
6086 | Events=240472 | Faraday 1=1666 | Buffers=12109 | Gene DIRECT=99820 | Gene MARQ=6330 | Gene TM=17347 | Trigger multiplicity=4 | Dead time (%)=18.554926 | Length (min.)=9.000000 | 
6087 | Events=239504 | Faraday 1=1668 | Buffers=12112 | Gene DIRECT=101030 | Gene MARQ=6347 | Gene TM=17422 | Trigger multiplicity=4 | Dead time (%)=18.400347 | Length (min.)=9.000000 | 
6088 | Events=239449 | Faraday 1=1672 | Buffers=12112 | Gene DIRECT=99299 | Gene MARQ=6341 | Gene TM=17327 | Trigger multiplicity=4 | Dead time (%)=18.639601 | Length (min.)=9.000000 | 
6089 | Events=241341 | Faraday 1=1691 | Buffers=12111 | Gene DIRECT=94084 | Gene MARQ=3161 | Gene TM=17665 | Trigger multiplicity=4 | Dead time (%)=19.428528 | Length (min.)=7.000000 | 
6090 | Events=239994 | Faraday 1=1686 | Buffers=12113 | Gene DIRECT=94067 | Gene MARQ=6305 | Gene TM=17448 | Trigger multiplicity=4 | Dead time (%)=19.881042 | Length (min.)=8.000000 | 
6091 | Events=240815 | Faraday 1=1684 | Buffers=12110 | Gene DIRECT=95602 | Gene MARQ=6332 | Gene TM=17455 | Trigger multiplicity=4 | Dead time (%)=19.553041 | Length (min.)=9.000000 | 
6092 | Events=250076 | Faraday 1=1627 | Buffers=12114 | Gene DIRECT=185500 | Gene MARQ=9474 | Gene TM=17575 | Trigger multiplicity=4 | Dead time (%)=9.984321 | Length (min.)=6.000000 | 
6093 | Events=242938 | Faraday 1=1650 | Buffers=12112 | Gene DIRECT=104544 | Gene MARQ=6329 | Gene TM=17794 | Trigger multiplicity=4 | Dead time (%)=18.117395 | Length (min.)=10.000000 | 
6094 | Events=242828 | Faraday 1=1668 | Buffers=12115 | Gene DIRECT=101023 | Gene MARQ=6335 | Gene TM=18353 | Trigger multiplicity=4 | Dead time (%)=19.382605 | Length (min.)=9.000000 | 
6095 | Events=244639 | Faraday 1=1678 | Buffers=12111 | Gene DIRECT=97458 | Gene MARQ=3173 | Gene TM=17627 | Trigger multiplicity=4 | Dead time (%)=18.695444 | Length (min.)=9.000000 | 
6096 | Events=242819 | Faraday 1=1660 | Buffers=12114 | Gene DIRECT=100038 | Gene MARQ=5540 | Gene TM=17128 | Trigger multiplicity=4 | Dead time (%)=18.125252 | Length (min.)=9.000000 | 
6097 | Events=242195 | Faraday 1=1654 | Buffers=12112 | Gene DIRECT=100765 | Gene MARQ=6334 | Gene TM=17405 | Trigger multiplicity=4 | Dead time (%)=18.431448 | Length (min.)=9.000000 | 
6098 | Events=242164 | Faraday 1=1665 | Buffers=12112 | Gene DIRECT=98049 | Gene MARQ=6327 | Gene TM=17767 | Trigger multiplicity=4 | Dead time (%)=19.370489 | Length (min.)=9.000000 | 
6099 | Events=243235 | Faraday 1=1645 | Buffers=12114 | Gene DIRECT=108149 | Gene MARQ=6322 | Gene TM=17398 | Trigger multiplicity=4 | Dead time (%)=17.085842 | Length (min.)=9.000000 | 
6100 | Events=243058 | Faraday 1=1644 | Buffers=12111 | Gene DIRECT=106139 | Gene MARQ=6314 | Gene TM=17435 | Trigger multiplicity=4 | Dead time (%)=17.465565 | Length (min.)=10.000000 | 
6101 | Events=243692 | Faraday 1=1663 | Buffers=12108 | Gene DIRECT=104766 | Gene MARQ=3589 | Gene TM=17872 | Trigger multiplicity=4 | Dead time (%)=17.664093 | Length (min.)=9.000000 | 
6102 | Events=243022 | Faraday 1=1645 | Buffers=12112 | Gene DIRECT=105041 | Gene MARQ=5429 | Gene TM=17412 | Trigger multiplicity=4 | Dead time (%)=17.479822 | Length (min.)=10.000000 | 
6103 | Events=243393 | Faraday 1=1648 | Buffers=12112 | Gene DIRECT=108266 | Gene MARQ=6337 | Gene TM=17514 | Trigger multiplicity=4 | Dead time (%)=17.182549 | Length (min.)=9.000000 | 
6104 | Events=242540 | Faraday 1=1661 | Buffers=12113 | Gene DIRECT=105038 | Gene MARQ=6313 | Gene TM=17895 | Trigger multiplicity=4 | Dead time (%)=18.126108 | Length (min.)=10.000000 | 
