#
#INDRA 94    Ni+Au 32 A.MeV  cible 200 µg					Vendredi 01 Decembre 1995
#
Tape	Run	FAR	Events	Blocs	G. TM	G. dir	G. marq	TM %	Evt/Far	Trigger	Cible	NB		
264	1312	5979	2136896	10380	84841	205039	10640	43,64	628,40	M>=1	Au	 M>=1 C1-5, HT cible 30 kV		
375	1430	6780	373338	10511	32745	241629	47914	16,90	61,19	M>=4	Au	HT Cible 30,1 kV
376	1431	6529	371549	10515	31828	259952	53086	15,39	61,63	M>=4	Au	HT Cible 30,1 kV
377	1432	6569	374729	10505	31893	264908	52918	15,04	61,42	M>=4	Au	HT Cible 30,1 kV
378	1433	6586	371822	10520	32474	259684	53183	15,73	61,43	M>=4	Au	HT Cible 30,1 kV
379	1434	6180	351145	10512	31241	248174	50761	15,83	61,83	M>=4	Au	HT Cible 30,1 kV
380	1435	5889	344154	10510	29194	259526	53433	14,17	61,87	M>=4	Au	HT Cible 30,1 kV
381	1436	5806	342936	10509	28692	269959	56102	13,42	61,68	M>=4	Au	HT Cible 30,1 kV
382	1437	5791	341058	10462	29442	266872	55302	13,92	61,93	M>=4	Au	HT Cible 30,1 kV
383	1438	5682	341537	10415	28788	280316	56109	12,84	61,96	M>=4	Au	HT Cible 30,1 kV
384	1439	5801	339982	10413	28857	258107	53433	14,10	61,96	M>=4	Au	HT Cible 30,1 kV
385	1440	6484	375688	10472	32195	234788	10685	14,37	61,53	M>=4	Au	HT Cible 30,1 kV
386	1441	6511	378398	10628	32010	240957	13360	14,06	61,42	M>=4	Au	HT Cible 30,1 kV
387	1442	6496	375318	10472	32206	234766	12706	14,50	61,51	M>=4	Au	HT Cible 30,1 kV
388	1443	6404	375766	10462	32364	245915	13356	13,92	61,72	M>=4	Au	HT Cible 30,1 kV
389	1444	6435	380555	10590	32668	259657	13359	13,26	61,39	M>=4	Au	HT Cible 30,1 kV
390	1445	6634	371069	10426	31787	204937	10687	16,36	61,68	M>=4	Au	HT Cible 30,1 kV
391	1446	6709	375485	10543	32483	207561	10686	16,50	61,82	M>=4	Au	HT Cible 30,1 kV
392	1447	6677	374168	10503	32441	208472	10686	16,40	61,77	M>=4	Au	HT Cible 30,1 kV
393	1448	6714	374273	10530	32313	202466	10687	16,85	61,97	M>=4	Au	HT Cible 30,1 kV
394	1449	6626	374062	10489	31809	211196	10686	15,86	61,73	M>=4	Au	HT Cible 30,1 kV
395	1450	6605	372984	10505	32031	209882	10688	16,08	61,94	M>=4	Au	HT Cible 30,1 kV
396	1451	6616	372954	10480	32494	209809	10687	16,32	62,02	M>=4	Au	HT Cible 30,1 kV
397	1452	6732	380953	10706	32532	217322	11947	15,84	61,82	M>=4	Au	HT Cible 30,1 kV
398	1453	6616	373071	10425	36403	228389	10687	16,72	61,87	M>=4	Au	HT Cible 30,1 kV
399	1454	7617	373057	10295	31808	396425	18703	8,42	44,68	M>=4	Au	HT Cible 30,1 kV
400	1455	6438	383857	10698	32802	267595	13360	12,90	61,45	M>=4	Au	HT Cible 30,1 kV
#												
#												
#						Cumul :	10 307 775					
#						6% :	618 467					
#												
#
#INDRA 94    Ni+Au 63.6 A.MeV  cible 200 µg					Vendredi 01 Decembre 1995
#
Tape	Run	FAR	Events	Blocs	G. TM	G. dir	G. marq	TM %	Evt/Far	Trigger	Cible	NB		
234	1282	5781	1127734	10639	63330	265599	40018	28,07	264,29	M>=1	Au	M>=1 C1-5, HT cible 32,1 kV
235	1283	6344	360702	10623	31946	222557	13336	15,27	61,25	M>=4	Au	HT cible 32,1 kV
236	1284	6353	354825	10568	31493	206334	10677	16,10	61,10	M>=4	Au	HT cible 32,1 kV
237	1285		0									Fin de bande
238	1286	6276	350244	10447	31078	205475	10682	15,95	60,89	M>=4	Au	HT cible 32,1 kV
239	1287	6545	351754	10503	31474	182851	8011	18,00	60,80	M>=4	Au	HT cible 32,1 kV
240	1288	6514	347272	10441	30966	178134	10678	18,49	60,84	M>=4	Au	HT cible 32,1 kV
241	1289	6570	347816	10430	31278	172185	8007	19,05	60,96	M>=4	Au	HT cible 32,1 kV
242	1290	6557	346211	10450	30389	174695	10674	18,53	60,37	M>=4	Au	HT cible 32,1 kV
243	1291	6236	347592	10411	30545	201628	10676	16,00	60,92	M>=4	Au	HT cible 32,1 kV
244	1292	6105	353550	10498	31237	228503	10678	14,34	61,27	M>=4	Au	HT cible 32,1 kV
245	1293	5956	352389	10403	31086	244113	10678	13,32	61,30	M>=4	Au	HT cible 32,1 kV
246	1294	6398	348239	10458	30658	186017	8008	17,22	60,82	M>=4	Au	HT cible 32,1 kV
247	1295	6835	346113	10459	32543	149391	5338	22,59	61,68	M>=4	Au	HT cible 32,1 kV
248	1296	6843	348229	10549	30959	149229	8006	21,92	61,51	M>=4	Au	HT cible 32,1 kV
249	1297	6821	347742	10550	30594	148289	8005	21,81	61,55	M>=4	Au	HT cible 32,1 kV
250	1298	6774	345471	10436	30863	147149	8004	22,18	61,89	M>=4	Au	HT cible 32,1 kV		
251	1299	6903	351919	10663	31163	151721	8004	21,68	61,40	M>=4	Au	HT cible 32,1 kV		
#														
#														
#						Cumul :	5 600 068							
#						6% :	336 004							
#														
#												
#INDRA 94    Ni+Au 74 A.MeV  cible 200µg					Vendredi 01 Decembre 1995
#
Tape	Run	FAR	Events	Blocs	G. TM	G. dir	G. marq	TM %	Evt/Far	Trigger	      Cible	N B
323	1377	5665	922911	10515	55405	178456	10688	33,02	237,99	M>=1	Au	M>=1 C1-5, Ni+Au 74 MeV/A
324	1378	4564	1696284	10510	79613	180263	10775	46,97	694,30	M>=1	Au	Ni+Au 74 MeV/A
325	1379	5607	346199	10489	31570	278970	13365	11,89	61,66	M>=4	Au	Ni+Au 74 MeV/A
326	1380	5833	335437	10443	30601	181616	10693	17,90	64,85	M>=4	Au	Ni+Au 74 MeV/A
327	1381	5843	341405	10590	31383	194071	10694	17,11	64,92	M>=4	Au	Ni+Au 74 MeV/A
328	1382	5882	341302	10653	32666	196326	10693	17,60	64,81	M>=4	Au	Ni+Au 74 MeV/A
329	1383	5802	337422	10604	31359	191151	10693	17,38	64,87	M>=4	Au	Ni+Au 74 MeV/A
330	1384	5157	310092	9604	28268	213231	10692	13,96	62,91	M>=4	Au	Ni+Au 74 MeV/A
332	1387	4854	381001	10476	32294	207523	37228	18,96	90,63	M>=4	Au	mauvais Run
333	1388	6665	344363	10777	31712	156692	8022	21,33	61,72	M>=4	Au	Ni   74 MeV/A
334	1389	6819	339906	10722	32559	149123	8022	23,07	61,13	M>=4	Au	Ni   74 MeV/A
335	1390	6131	342874	10708	31445	195706	1696	17,00	62,02	M>=4	Au	Ni   74 MeV/A
336	1391	6270	341592	10657	30608	176484	8022	18,17	61,81	M>=4	Au	Ni   74 MeV/A
337	1392	6188	341877	10660	30837	185331	8023	17,39	61,79	M>=4	Au	Ni   74 MeV/A
338	1393	6384	336194	10514	30733	153096	5348	20,80	62,38	M>=4	Au	Ni   74 MeV/A
339	1394	6437	335220	10591	30544	149742	8023	21,55	62,48	M>=4	Au	Ni   74 MeV/A
340	1395	6513	336363	10592	31022	147761	8022	22,20	62,57	M>=4	Au	Ni   74 MeV/A
341	1396	6424	335193	10566	30444	153413	8022	20,94	61,98	M>=4	Au	Ni   74 MeV/A
342	1397	6720	335545	10569	30690	131788	5348	24,27	62,60	M>=4	Au	Ni   74 MeV/A
343	1398	6665	337526	10593	31243	138187	5348	23,52	62,68	M>=4	Au	Ni   74 MeV/A
344	1399	6363	336691	10528	31064	155952	8020	21,00	62,85	M>=4	Au	Ni   74 MeV/A
345	1400	6499	338147	10535	37003	171809	8022	22,59	62,74	M>=4	Au	Ni   74 MeV/A
346	1401	6168	346625	10690	31200	187280	8023	17,41	62,88	M>=4	Au	Ni   74 MeV/A
347	1402	6225	343492	10699	31146	179547	10696	18,45	62,84	M>=4	Au	Ni   74 MeV/A
348	1403	6315	343009	10663	30740	169817	8372	19,04	62,55	M>=4	Au	Ni   74 MeV/A
349	1404	6168	340760	10576	30759	175150	8021	18,40	62,90	M>=4	Au	Ni   74 MeV/A
350	1405	6018	340628	10529	30734	192153	10693	16,94	62,79	M>=4	Au	Ni   74 MeV/A
351	1406	6201	340767	10524	30955	176611	8021	18,36	62,49	M>=4	Au	Ni   74 MeV/A
352	1407	6259	338949	10529	30361	172663	8022	18,44	61,73	M>=4	Au	Ni   74 MeV/A
353	1408	6442	338888	10553	30979	159056	8023	20,51	62,02	M>=4	Au	Ni   74 MeV/A
354	1409	6732	340658	10644	30843	138846	6218	23,26	62,44	M>=4	Au	Ni   74 MeV/A
355	1410	6662	338388	10585	31579	144091	9022	23,38	62,69	M>=4	Au	Ni   74 MeV/A
356	1411	6683	340777	10590	31265	133346	5648	24,48	64,13	M>=4	Au	Ni   74 MeV/A
#												
#												
#						Cumul :	8 535 433					
#						6% :	512 126					
#
#
#
#
#INDRA 94    Ni+Au  82 A.MeV  cible 200 µg					Vendredi 01 Decembre 1995
#
Tape	Run	FAR	Events	Blocs	G. TM	G. dir	G. marq	TM %	Evt/Far	Trigger	Cible	NB
487	1556	6041	331252	10620	30523	194679	10828	16,60	60,35	M>=4	Au	HT cible 30kV  I=0,6
488	1557	5999	331905	10610	30719	199500	10829	16,28	60,50	M>=4	Au	I=0,6 nA
489	1558	2387	1968776	10613	97532	284607	15826	36,29	1274,55	M>=1	Au	I=0,6 nA
490	1559	6129	335589	10639	31067	193145	8122	16,79	60,44	M>=4	Au	I=0,6 nA
491	1560	6052	332528	10624	30225	189169	8121	16,69	60,65	M>=4	Au	I=0,6 nA
492	1561	5885	324410	10377	29625	188679	10825	16,66	60,78	M>=4	Au	I=0,6 nA
493	1562	5986	328296	10491	30231	190070	10825	16,87	60,65	M>=4	Au	I=0,6 nA
494	1563	5994	324738	10396	29634	178714	10825	17,65	60,82	M>=4	Au	I=0,6 nA
495	1564	5932	326605	10365	30082	181350	8118	17,37	61,44	M>=4	Au	I=0,6 nA
496	1565	5999	325464	10381	29728	176021	8120	17,71	60,96	M>=4	Au	I=0,6 nA
497	1566	5941	324591	10377	29934	178638	10826	17,84	61,48	M>=4	Au	I=0,6 nA
498	1567	6098	332854	10569	30251	177681	8120	17,84	61,50	M>=4	Au	I=0,6 nA
499	1568	5959	326204	10381	29744	175917	8274	17,74	61,55	M>=4	Au	I=0,6 nA
500	1569	5914	324373	10381	29782	178397	10826	17,77	61,67	M>=4	Au	I=0,6 nA
501	1570	5902	325233	10385	29633	180904	10827	17,42	61,62	M>=4	Au	I=0,6 nA
502	1571	5899	326418	10380	29991	185568	10828	17,16	61,54	M>=4	Au	I=0,6 nA
503	1572	6006	328198	10384	30782	174971	8120	18,45	62,08	M>=4	Au	I=0,6 nA		
504	1573	5994	326646	10379	29269	174120	8122	17,63	61,25	M>=4	Au	I=0,6 nA		
505	1574	5942	329631	10493	30232	183392	10829	17,52	62,10	M>=4	Au	I=0,6 nA		
506	1575	5933	325784	10373	29892	176608	10828	18,03	62,03	M>=4	Au	I=0,6 nA		
507	1576	1403	77112	2423	7078	47333	2707	15,86	59,68	M>=4	Au	I=0,6 nA		
507	1577	4443	250615	7956	22675	149312	8122	16,06	61,56	M>=4	Au	I=0,6 nA		
508	1578	5784	329141	10385	30280	199578	10828	16,04	61,99	M>=4	Au	I=0,6 nA		
509	1579	5510	329772	10383	30142	208039	10830	15,28	64,29	M>=4	Au	I=0,6 nA		
510	1580	5690	338961	10603	30991	239349	13539	13,72	62,00	M>=4	Au	I=0,6 nA		
511	1581	5849	338325	10616	30667	216150	10834	14,94	61,77	M>=4	Au	I=0,6 nA		
512	1582	5762	334319	10576	30454	217519	13542	14,93	61,92	M>=4	Au	I=0,6 nA		
513	1583	5763	342180	10643	30778	249219	13543	13,06	61,03	M>=4	Au	I=0,6 nA		
514	1584	5947	340616	10671	30807	206810	10832	15,72	62,11	M>=4	Au	I=0,6 nA		
515	1585	5754	344987	10682	30828	238533	10835	13,54	62,32	M>=4	Au	I=0,6 nA		
516	1586	4260	252638	7862	22993	175229	8126	13,76	61,80	M>=4	Au	I=0,5 nA		
#														
#														
#					Cumul :	9 509 385								
#					6% :	570 563								
#
#INDRA 94    Ni+Au 90 A.MeV  cible 200 µg					Vendredi 01 Decembre 1995
#
Tape	Run	FAR	Events	Blocs	G. TM	G. dir	G. marq	TM %	Evt/Far	Trigger	Cible	NB		
208	1253	6948	284104	8910	25248	126842	8006	21,25	48,89	M>=4	Au	HT cible 32,1 kV		
209	1254	8028	331880	10348	30103	150044	8004	21,19	49,32	M>=4	Au	HT cible 35,1 kV		
210	1255	8060	341064	10658	30346	146200	8001	21,96	51,18	M>=4	Au	HT cible 30,1 kV		
211	1256	8059	337932	10610	30571	142279	7999	22,77	51,34	M>=4	Au	HT cible 32,1 kV		
212	1257	8162	339128	10628	30758	139523	7998	23,39	51,37	M>=4	Au	HT cible 32,1 kV		
213	1258	7953	338474	10610	30441	147263	7999	21,86	51,36	M>=4	Au	HT cible 32,1 kV		
214	1259	7794	340758	10616	30963	154353	7993	21,16	52,12	M>=4	Au	HT cible 32,1 kV		
215	1260	7535	341195	10583	30523	170032	7997	18,84	51,97	M>=4	Au	HT cible 32,1 kV		
216	1261	6511	323404	10587	28759	349229	156524	14,92	53,13	M>=4	Au	HT cible 32,1 kV		
217	1262	6689	352645	10604	31548	349259	70453	11,32	52,05	M>=4	Au	HT cible 32,1 kV		
218	1263	5408	1520281	10680	75967	264562	52881	35,89	431,53	M>=1	Au	HT cible 32,1 kV		
419	1486	6289	321771	10639	30064	149272	8120	21,30	61,03	M>=4	Au	RAZ des echelles ON
420	1487	6189	322378	10635	30178	158206	8119	20,11	60,89	M>=4	Au	HT cible 30 kV		
421	1488	5986	322763	10587	29626	16691	10828	19,00	61,94	M>=4	Au			
422	1489		320000	10797						M>=4	Au	Fin de bande		
423	1490	6251	320874	10586	29700	142127	8123	22,16	62,14	M>=4	Au			
424	1491	5831	327706	10597	30307	261738	14267	12,25	56,51	M>=4	Au			
425	1492	5949	327415	10581	37417	204161	10832	19,35	62,48	M>=4	Au			
426	1493	5870	327741	10616	30469	189868	10827	17,02	61,87	M>=4	Au			
427	1494	5900	328357	10617	30525	182788	8121	17,48	62,18	M>=4	Au			
428	1495	5608	331162	10569	29917	316181	16240	9,97	56,10	M>=4	Au			
429	1496	5385	337599	10603	30468	272147	13535	11,78	62,54	M>=4	Au			
430	1497	5217	345819	10687	30850	332603	16244	9,75	62,68	M>=4	Au			
431	1498	5016	351434	10716	31574	245420	10832	13,46	72,66	M>=4	Au			
432	1499	4735	358975	10770	31921	160499	8123	20,95	90,19	M>=4	Au			
433	1500	4750	351238	10632	31415	155908	8123	21,26	88,38	M>=4	Au			
434	1501	4815	351406	10640	31480	174414	8121	18,93	83,89	M>=4	Au	
435	1502	4628	348801	10579	31120	188712	10829	17,49	84,53	M>=4	Au	
436	1503	4656	349303	10580	31568	205695	10830	16,20	82,10	M>=4	Au	
437	1504	4804	349202	10634	31496	214106	10827	15,49	78,51	M>=4	Au	
438	1505	4546	355611	10616	31239	154115	8121	21,40	93,82	M>=4	Au	
439	1506	4278	364501	10666	32016	127195	8119	26,89	111,60	M>=4	Au	
440	1507	4170	370486	10677	32200	120101	5413	28,08	118,65	M>=4	Au	
441	1508	4256	362413	10608	31765	120512	8119	28,26	114,01	M>=4	Au	
442	1509	4045	365937	10587	31632	132118	8118	25,51	116,01	M>=4	Au	
443	1510	4111	364291	10597	32326	138356	6731	24,56	111,78	M>=4	Au	
444	1511	3949	374069	10671	32286	111702	5412	30,38	131,27	M>=4	Au	
445	1512	4010	369009	10595	32125	115456	5412	29,19	125,09	M>=4	Au	
446	1513	3843	367369	10519	32020	120811	8118	28,41	128,33	M>=4	Au	
447	1514	3754	367257	10503	32062	126906	6176	26,56	127,50	M>=4	Au	
448	1515	1975	1924697	10347	98619	317668	16233	32,72	1421,30	M>=1	Au	
449	1516	4828	348985	10585	30868	433490	21640	7,49	63,00	M>=4	Au	HT cible 30kV  I=0,2
450	1517	4787	347534	10485	30621	464676	24346	6,95	61,70	M>=4	Au	I=0,2 nA
451	1518	5047	346131	10664	30953	395554	21642	8,28	61,62	M>=4	Au	I=0,2 nA
452	1519	4741	355661	10595	31316	506147	27040	6,54	62,33	M>=4	Au	I=0,2 nA
453	1520	4590	359055	10540	30948	567425	29739	5,76	62,21	M>=4	Au	I=0,2 nA
#												
#						Total :	11 812 253					
#						6% :	708 735					
#****
#INDRA 94    Ni+Ni 32 A.MeV  cible 179 µg					Vendredi 01 Decembre 1995
#****
Tape	Run	FAR	Events	Blocs	G. TM	G. dir	G. marq	TM %	Evt/Far	Trigger	Cible	NB		 
252	1300	6014	1247060	10528	67709	214018	10660	33,30	304,86	M>=1	Ni	M>=1 C1-5, HT cible 28 kV		
253	1301	6462	501179	10582	37450	212738	10658	18,53	89,65	M>=4	Ni	HT cible 32,1 kV		
254	1302	6354	493706	10446	36948	202680	10658	19,24	90,85	M>=4	Ni	HT cible 32,1 kV		
255	1303	6579	504905	10682	39878	204823	10658	20,54	91,34	M>=4	Ni	HT cible 32,1 kV		
256	1304	6537	504851	10678	37741	204458	10655	19,47	90,64	M>=4	Ni	HT cible 32,1 kV		
257	1305	6454	497338	10525	38061	201886	10656	19,90	90,95	M>=4	Ni	HT cible 32,1 kV		
258	1306	6468	496680	10510	37393	200013	10653	19,75	90,49	M>=4	Ni	HT cible 32,1 kV		
259	1307	6490	497449	10519	37715	201416	10653	19,77	90,32	M>=4	Ni	HT cible 32,1 kV		
260	1308	6358	507667	10621	38339	252849	10651	15,83	88,10	M>=4	Ni	HT cible 32,1 kV		
261	1309		506785							M>=4	Ni	HT cible 32,1 kV		
262	1310	6688	494341	10461	37550	180736	10647	22,08	90,34	M>=4	Ni	HT cible 32,1 kV		
263	1311	6869	508409	10663	38383	183581	7981	21,86	90,18	M>=4	Ni	HT cible 32,1 kV		
#														
#														
#						Cumul :	5 513 310							
#						6% :	330 799							
#														
#														
#														
#INDRA 94    Ni+Ni 40 A.MeV  cible 179 µg					Vendredi 01 Decembre 1995
#
Tape	Run	FAR	Events	Blocs	G. TM	G. dir	G. marq	TM %	Evt/Far	Trigger	Cible	NB		
287	1335	6500	890359	10615	54473	235552	13352	24,52	175,40	M>=1	Ni	HT cible 32,1 kV		
288	1336	6675	475630	10591	37098	211126	10678	18,51	82,11	M>=4	Ni	HT cible 32,1 kV		
289	1337	5725	415361	9220	31722	205284	10680	16,30	80,65	M>=4	Ni	HT cible 32,1 kV	
290	1338	6639	483177	10597	36778	202219	8007	18,94	84,59	M>=4	Ni	HT cible 32,1 kV	
291	1339	3408	250370	5462	19376	145246	8007	14,12	78,39	M>=4	Ni	HT cible 32,1 kV	
292	1340	6607	466246	10482	36027	220394	10677	17,18	79,57	M>=4	Ni	HT cible 32,1 kV	
293	1341	5948	509349	10500	39740	198047	10679	21,21	103,09	M>=4	Ni	HT cible 32,1 kV	
294	1342	6428	478842	10622	37184	273078	13341	14,32	79,77	M>=4	Ni	HT cible 32,1 kV	
295	1343	6505	464324	10274	35751	241480	10680	15,49	78,16	M>=4	Ni	HT cible 32,1 kV	
296	1344	6769	472848	10544	36456	203051	10678	18,95	81,14	M>=4	Ni	HT cible 32,1 kV	
297	1345	6803	475846	10585	36679	217506	10678	17,73	79,63	M>=4	Ni	HT cible 32,1 kV	
298	1346	6677	477930	10627	36742	271112	10627	14,11	76,41	M>=4	Ni	HT cible 32,1 kV	
299	1347	6919	480444	10715	36924	202678	10677	19,23	81,05	M>=4	Ni	HT cible 32,1 kV	
300	1348	0	148548	1610	8066	646551	34729	1,32		M>=1	Au	M>=1	C1-5, calibration	
#													
#													
#						Cumul :	5 450 367						
#						6% :	327 022						
#														
#
#INDRA 94    Ni+Ni  52 A.MeV  cible 179 µg 					Vendredi 01 Decembre 1995
#
Tape	Run	FAR	Events	Blocs	G. TM	G. dir	G. marq	TM %	Evt/Far	Trigger	Cible	NB
358	1413	4816	1432328	10498	74995	251585	50969	37,38	467,57	M>=1	Ni	HT Cible 30,1 kV
359	1414	6635	445241	10513	48668	279144	48668	21,12	78,90	M>=4	Ni	HT Cible 30,1 kV
360	1415	6882	451510	10581	35967	244189	26641	16,53	72,99	M>=4	Ni	HT Cible 30,1 kV
361	1416	6752	438770	10470	35190	271038	55759	16,35	72,02	M>=4	Ni	HT Cible 30,1 kV
362	1417	6748	446246	10557	35348	271789	55317	16,33	73,34	M>=4	Ni	HT Cible 30,1 kV
363	1418	6688	440400	10495	34727	271294	55742	16,11	72,77	M>=4	Ni	HT Cible 30,1 kV
364	1419	6590	441789	10495	35255	291432	59504	15,20	72,81	M>=4	Ni	HT Cible 30,1 kV
365	1420	6558	445752	10506	35362	301844	61517	14,71	73,19	M>=4	Ni	HT Cible 30,1 kV
366	1421	6735	447479	10407	36972	282745	39709	15,21	71,96	M>=4	Ni	HT Cible 30,1 kV
367	1422	6527	437859	10408	34328	277684	56080	15,49	73,35	M>=4	Ni	HT Cible 30,1 kV
368	1423	6615	442214	10519	35133	280983	58574	15,80	73,42	M>=4	Ni	HT Cible 30,1 kV
369	1424	6647	442770	10514	35364	289182	58575	15,34	72,52	M>=4	Ni	HT Cible 30,1 kV
370	1425	6859	454263	10657	36535	309478	61302	14,72	71,24	M>=4	Ni	HT Cible 30,1 kV
371	1426	6604	445585	10512	35097	315764	63830	13,93	71,62	M>=4	Ni	HT Cible 30,1 kV
#												
#												
#						Cumul :	5 779 878					
#						6% :	346 793					
#												
#
#INDRA 94    Ni+Ni 63.6 A.MeV  cible 179 µg					Vendredi 01 Decembre 1995
#
Tape	Run	FAR	Events	Blocs	G. TM	G. dir	G. marq	TM %	Evt/Far	Trigger	Cible	NB		
220	1267	7809	418322	10427	33927	274100	55214	15,50	58,42	M>=4	Ni	HT cible 32,1 kV		
221	1268	7611	420982	10433	33970	308339	63917	13,90	58,54	M>=4	Ni	HT cible 32,1 kV		
222	1269	7849	423199	10522	34366	252391	50507	17,02	60,41	M>=4	Ni	HT cible 32,1 kV		
223	1270	7549	420212	10460	33739	283016	57490	14,96	60,15	M>=4	Ni	HT cible 32,1 kV		
224	1271	7176	423006	10502	33923	346117	71763	12,36	60,48	M>=4	Ni	HT cible 32,1 kV		
225	1272	3059	186124	4539	14854	172264	34659	10,79	60,22	M>=4	Ni	HT cible 32,1 kV		
225	1273	4235	244719	6008	19694	181931	37247	13,61	60,83	M>=4	Ni	HT cible 32,1 kV		
226	1274	7052	410711	10211	33162	315334	63819	13,18	60,75	M>=4	Ni	HT cible 32,1 kV		
227	1275	7269	425616	10582	34108	325245	66497	13,18	61,12	M>=4	Ni	HT cible 32,1 kV		
228	1276	6931	420875	10497	34039	378662	76710	11,27	60,71	M>=4	Ni	HT cible 32,1 kV		
229	1277	7415	424378	10694	36002	298121	59383	15,08	61,68	M>=4	Ni	HT cible 32,1 kV		
230	1278	7636	425664	10617	34234	263964	53160	16,24	61,65	M>=4	Ni	HT cible 32,1 kV		
231	1279	7596	418925	10509	34253	263982	53810	16,30	60,98	M>=4	Ni	HT cible 32,1 kV		
232	1280	7847	423635	10643	34187	233658	46224	18,24	61,79	M>=4	Ni	HT cible 32,1 kV		
233	1281	7547	548612	10652	39900	314832	64018	15,91	80,55	M>=1	Ni	M>=1 C1-5, HT cible 32,1 kV		
#														
#														
#						Cumul :	5 486 368							
#						6% :	329 182							
#														
#
#INDRA 94    Ni+Ni 74 A.MeV  cible 179 µg 					Vendredi 01 Decembre 1995		
#
Tape	Run	FAR	Events	Blocs	G. TM	G. dir	G. marq	TM %	Evt/Far	Trigger	Cible	NB	
357	1412	4218	1887499	10501	98121	283152	16048	36,74	696,08	M>=1 C1-17	Ni	HT Cible 30,1 kV
307	1361	6690	416627	10488	34467	165113	8019	21,94	75,61	M>=4	Ni	Ni+Ni 74 MeV/A	
308	1362	6434	420026	10524	34613	204592	10692	17,85	74,12	M>=4	Ni	Ni+Ni 74 MeV/A	
309	1363	6727	417414	10529	33784	194553	10693	18,37	71,17	M>=4	Ni	Ni+Ni 74 MeV/A	
310	1364	7175	413825	10483	34146	161423	8019	22,26	70,39	M>=4	Ni	Ni+Ni 74 MeV/A	
311	1365	7104	417941	10511	34357	168421	8017	21,42	70,86	M>=4	Ni	Ni+Ni 74 MeV/A	
312	1366	6934	419462	10599	34116	148071	8014	24,36	76,39	M>=4	Ni	Ni+Ni 74 MeV/A	
313	1367	6480	416399	10463	33651	178500	10683	20,05	75,78	M>=4	Ni	Ni+Ni 74 MeV/A	
314	1368	9413	417152	10548	55866	125556	8012	47,53	82,24	M>=4	Ni	Ni+Ni 74 MeV/A	
