# Runlist.csv file written by KVINDRADB::WriteRunListFile on Tue Dec  7 10:55:16 2010
Version=10
2 | Buffers=8067 | Events=32247 | Faraday 1=0 | Faraday 2=0 | DEC=0 | FC=0 | OK=0 | FT=0 | AVL=0 | OCD=0 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=35976 | Gene TM=0 | Gene MARQ=35976 | OA=0 | RAZ=0 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | PRG23=0 | Length (min.)=48.660367 | Size (MB)=126.046900 | Dead time (%)=0.000000 | Start Date=12-NOV-2010 09:31:29.00 | End Date=12-NOV-2010 10:20:19.00 | Comments=Piedestaux ChIo/Si sans HT | 
13 | Buffers=63910 | Events=5909163 | Faraday 1=0 | Faraday 2=0 | DEC=121542 | FC=35595 | OK=35595 | FT=35595 | AVL=0 | OCD=35595 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=2617 | Gene TM=1282 | Gene MARQ=0 | OA=35595 | RAZ=35595 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | PRG23=0 | Trigger multiplicity=1 | Length (min.)=65.243683 | Size (MB)=998.593800 | Dead time (%)=48.987389 | Start Date=19-NOV-2010 15:21:09.00 | End Date=19-NOV-2010 16:26:16.00 | Logbook=p.18 | 
14 | Buffers=55104 | Events=5012773 | Faraday 1=0 | Faraday 2=0 | DEC=12382620 | FC=5010583 | OK=5010581 | FT=5010581 | AVL=0 | OCD=5010581 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=472402 | Gene TM=210211 | Gene MARQ=0 | OA=5010581 | RAZ=5010581 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | PRG23=0 | Trigger multiplicity=1 | Length (min.)=41.745100 | Size (MB)=861.000000 | Dead time (%)=44.498329 | Start Date=19-NOV-2010 16:26:16.00 | End Date=19-NOV-2010 17:08:08.00 | Logbook=p.18 | 
15 | Buffers=3556 | Events=14211 | Faraday 1=0 | Faraday 2=0 | DEC=2025165 | FC=14223 | OK=14223 | FT=14223 | AVL=0 | OCD=14223 | Gene LASER=0 | Gene ELECT=14223 | Gene TEST=0 | Gene DIRECT=57184 | Gene TM=0 | Gene MARQ=57184 | OA=14223 | RAZ=14224 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | PRG23=0 | Length (min.)=5.173512 | Size (MB)=55.562500 | Dead time (%)=0.000000 | Start Date=19-NOV-2010 17:32:18.00 | End Date=19-NOV-2010 17:37:23.00 | Comments=Rampes gene sur siliciums | Logbook=p.18 | 
16 | Buffers=3589 | Events=14338 | Faraday 1=0 | Faraday 2=0 | DEC=2351267 | FC=14350 | OK=14350 | FT=14350 | AVL=0 | OCD=14350 | Gene LASER=0 | Gene ELECT=14350 | Gene TEST=0 | Gene DIRECT=57697 | Gene TM=0 | Gene MARQ=57697 | OA=14350 | RAZ=14351 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | PRG23=0 | Length (min.)=5.190192 | Size (MB)=56.078120 | Dead time (%)=0.000000 | Start Date=19-NOV-2010 17:37:29.00 | End Date=19-NOV-2010 17:43:04.00 | Comments=Rampes gene sur siliciums | Logbook=p.18 | 
17 | Buffers=3265 | Events=13036 | Faraday 1=0 | Faraday 2=0 | DEC=1749610 | FC=13047 | OK=13047 | FT=13047 | AVL=0 | OCD=13047 | Gene LASER=0 | Gene ELECT=13047 | Gene TEST=0 | Gene DIRECT=52487 | Gene TM=0 | Gene MARQ=52487 | OA=13047 | RAZ=13048 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | PRG23=0 | Length (min.)=4.711965 | Size (MB)=51.015620 | Dead time (%)=0.000000 | Start Date=19-NOV-2010 17:43:10.00 | End Date=19-NOV-2010 17:48:01.00 | Comments=Rampes gene sur siliciums | Logbook=p.18 | 
18 | Buffers=1518 | Events=22674 | Faraday 1=0 | Faraday 2=0 | DEC=1 | FC=22704 | OK=22704 | FT=22704 | AVL=0 | OCD=22704 | Gene LASER=0 | Gene ELECT=22704 | Gene TEST=0 | Gene DIRECT=91112 | Gene TM=0 | Gene MARQ=91112 | OA=22704 | RAZ=22705 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | PRG23=0 | Length (min.)=8.201967 | Size (MB)=23.718750 | Dead time (%)=0.000000 | Start Date=19-NOV-2010 17:57:08.00 | End Date=19-NOV-2010 18:05:14.00 | Comments=Rampes gene sur Chio | 
19 | Buffers=925 | Events=14338 | Faraday 1=0 | Faraday 2=0 | DEC=1 | FC=14364 | OK=14364 | FT=14364 | AVL=0 | OCD=14364 | Gene LASER=0 | Gene ELECT=14364 | Gene TEST=0 | Gene DIRECT=57753 | Gene TM=0 | Gene MARQ=57753 | OA=14364 | RAZ=14365 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | PRG23=0 | Length (min.)=5.179518 | Size (MB)=14.453120 | Dead time (%)=0.000000 | Start Date=19-NOV-2010 18:05:20.00 | End Date=19-NOV-2010 18:10:25.00 | Comments=Rampes gene sur Chio | 
20 | Buffers=63908 | Events=6036819 | Faraday 1=0 | Faraday 2=0 | DEC=8248331 | FC=6037270 | OK=6037270 | FT=6037270 | AVL=0 | OCD=6037270 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=732333 | Gene TM=289497 | Gene MARQ=0 | OA=6037270 | RAZ=6037270 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | PRG23=0 | Trigger multiplicity=1 | Length (min.)=64.814367 | Size (MB)=998.562500 | Dead time (%)=39.530788 | Start Date=19-NOV-2010 18:18:26.00 | End Date=19-NOV-2010 19:23:20.00 | 
21 | Buffers=63909 | Events=6036898 | Faraday 1=0 | Faraday 2=0 | DEC=8245686 | FC=6037607 | OK=6037607 | FT=6037607 | AVL=0 | OCD=6037607 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=733939 | Gene TM=289424 | Gene MARQ=0 | OA=6037607 | RAZ=6037607 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | PRG23=0 | Trigger multiplicity=1 | Length (min.)=64.981917 | Size (MB)=998.578100 | Dead time (%)=39.434341 | Start Date=19-NOV-2010 19:23:20.00 | End Date=19-NOV-2010 20:28:19.00 | 
22 | Buffers=63908 | Events=6036585 | Faraday 1=0 | Faraday 2=0 | DEC=8251058 | FC=6036129 | OK=6036129 | FT=6036129 | AVL=0 | OCD=6036129 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=733418 | Gene TM=289551 | Gene MARQ=0 | OA=6036129 | RAZ=6036129 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | PRG23=0 | Trigger multiplicity=1 | Length (min.)=64.865783 | Size (MB)=998.562500 | Dead time (%)=39.479668 | Start Date=19-NOV-2010 20:28:20.00 | End Date=19-NOV-2010 21:33:15.00 | 
23 | Buffers=63910 | Events=6040166 | Faraday 1=0 | Faraday 2=0 | DEC=8648796 | FC=6041651 | OK=6041651 | FT=6041651 | AVL=0 | OCD=6041651 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=708248 | Gene TM=286126 | Gene MARQ=0 | OA=6041651 | RAZ=6041652 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | PRG23=0 | Trigger multiplicity=1 | Length (min.)=62.640750 | Size (MB)=998.593800 | Dead time (%)=40.399124 | Start Date=19-NOV-2010 21:33:16.00 | End Date=19-NOV-2010 22:36:05.00 | 
24 | Buffers=63907 | Events=6036038 | Faraday 1=0 | Faraday 2=0 | DEC=8279794 | FC=6034343 | OK=6034343 | FT=6034343 | AVL=0 | OCD=6034343 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=729543 | Gene TM=289043 | Gene MARQ=0 | OA=6034343 | RAZ=6034343 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | PRG23=0 | Trigger multiplicity=1 | Length (min.)=64.602700 | Size (MB)=998.546900 | Dead time (%)=39.619736 | Start Date=19-NOV-2010 22:36:05.00 | End Date=19-NOV-2010 23:40:23.00 | 
25 | Buffers=63908 | Events=6025686 | Faraday 1=0 | Faraday 2=0 | DEC=8586200 | FC=6026720 | OK=6026720 | FT=6026720 | AVL=0 | OCD=6026720 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=716426 | Gene TM=286533 | Gene MARQ=0 | OA=6026720 | RAZ=6026720 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | PRG23=0 | Trigger multiplicity=1 | Length (min.)=63.350850 | Size (MB)=998.562500 | Dead time (%)=39.994781 | Start Date=19-NOV-2010 23:40:25.00 | End Date=20-NOV-2010 00:44:05.00 | 
26 | Buffers=63910 | Events=6008210 | Faraday 1=0 | Faraday 2=0 | DEC=8780864 | FC=6008905 | OK=6008905 | FT=6008905 | AVL=0 | OCD=6008905 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=702318 | Gene TM=283619 | Gene MARQ=0 | OA=6008905 | RAZ=6008905 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | PRG23=0 | Trigger multiplicity=1 | Length (min.)=62.091217 | Size (MB)=998.593800 | Dead time (%)=40.383274 | Start Date=20-NOV-2010 00:44:05.00 | End Date=20-NOV-2010 01:46:08.00 | 
27 | Buffers=63909 | Events=6038497 | Faraday 1=0 | Faraday 2=0 | DEC=8544782 | FC=6038362 | OK=6038362 | FT=6038362 | AVL=0 | OCD=6038362 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=717281 | Gene TM=286891 | Gene MARQ=0 | OA=6038362 | RAZ=6038362 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | PRG23=0 | Trigger multiplicity=1 | Length (min.)=63.449617 | Size (MB)=998.578100 | Dead time (%)=39.997017 | Start Date=20-NOV-2010 01:46:08.00 | End Date=20-NOV-2010 02:49:21.00 | 
28 | Buffers=63910 | Events=6036826 | Faraday 1=0 | Faraday 2=0 | DEC=8261910 | FC=6036952 | OK=6036952 | FT=6036952 | AVL=0 | OCD=6036952 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=732382 | Gene TM=289123 | Gene MARQ=0 | OA=6036952 | RAZ=6036952 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | PRG23=0 | Trigger multiplicity=1 | Length (min.)=64.819617 | Size (MB)=998.593800 | Dead time (%)=39.477077 | Start Date=20-NOV-2010 02:49:21.00 | End Date=20-NOV-2010 03:54:16.00 | 
29 | Buffers=63907 | Events=6054873 | Faraday 1=0 | Faraday 2=0 | DEC=10194496 | FC=6053457 | OK=6053457 | FT=6053457 | AVL=0 | OCD=6053457 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=579218 | Gene TM=260738 | Gene MARQ=0 | OA=6053457 | RAZ=6053457 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | PRG23=0 | Trigger multiplicity=1 | Length (min.)=51.136950 | Size (MB)=998.546900 | Dead time (%)=45.015522 | Start Date=20-NOV-2010 03:54:16.00 | End Date=20-NOV-2010 04:45:20.00 | 
30 | Buffers=63909 | Events=6045227 | Faraday 1=0 | Faraday 2=0 | DEC=10639545 | FC=6041603 | OK=6041603 | FT=6041603 | AVL=0 | OCD=6041603 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=495734 | Gene TM=246268 | Gene MARQ=0 | OA=6041603 | RAZ=6041603 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | PRG23=0 | Trigger multiplicity=1 | Length (min.)=43.759933 | Size (MB)=998.578100 | Dead time (%)=49.677448 | Start Date=20-NOV-2010 04:45:20.00 | End Date=20-NOV-2010 05:29:12.00 | 
31 | Buffers=63909 | Events=6044388 | Faraday 1=0 | Faraday 2=0 | DEC=12397956 | FC=6043659 | OK=6043659 | FT=6043659 | AVL=0 | OCD=6043659 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=363223 | Gene TM=211831 | Gene MARQ=0 | OA=6043659 | RAZ=6043659 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | PRG23=0 | Trigger multiplicity=1 | Length (min.)=31.910250 | Size (MB)=998.578100 | Dead time (%)=58.319820 | Start Date=20-NOV-2010 05:29:12.00 | End Date=20-NOV-2010 06:01:09.00 | 
32 | Buffers=63908 | Events=5981470 | Faraday 1=0 | Faraday 2=0 | DEC=13723443 | FC=5974443 | OK=5974442 | FT=5974442 | AVL=0 | OCD=5974442 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=349883 | Gene TM=198980 | Gene MARQ=0 | OA=5974442 | RAZ=5974442 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | PRG23=0 | Trigger multiplicity=1 | Length (min.)=30.757767 | Size (MB)=998.562500 | Dead time (%)=56.870441 | Start Date=20-NOV-2010 06:01:09.00 | End Date=20-NOV-2010 06:32:02.00 | 
33 | Buffers=63909 | Events=5784244 | Faraday 1=0 | Faraday 2=0 | DEC=11469642 | FC=5783809 | OK=5783809 | FT=5783809 | AVL=0 | OCD=5783809 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=461994 | Gene TM=230199 | Gene MARQ=0 | OA=5783809 | RAZ=5783810 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | PRG23=0 | Trigger multiplicity=1 | Length (min.)=40.687183 | Size (MB)=998.578100 | Dead time (%)=49.827271 | Start Date=20-NOV-2010 06:32:02.00 | End Date=20-NOV-2010 07:12:22.00 | 
34 | Buffers=63909 | Events=5997085 | Faraday 1=0 | Faraday 2=0 | DEC=8516932 | FC=5996341 | OK=5996341 | FT=5996341 | AVL=0 | OCD=5996341 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=700626 | Gene TM=284633 | Gene MARQ=0 | OA=5996341 | RAZ=5996341 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | PRG23=0 | Trigger multiplicity=1 | Length (min.)=61.947633 | Size (MB)=998.578100 | Dead time (%)=40.625526 | Start Date=20-NOV-2010 07:12:22.00 | End Date=20-NOV-2010 08:14:20.00 | 
35 | Buffers=63910 | Events=5999694 | Faraday 1=0 | Faraday 2=0 | DEC=8363052 | FC=6000178 | OK=6000178 | FT=6000178 | AVL=0 | OCD=6000178 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=709782 | Gene TM=285741 | Gene MARQ=0 | OA=6000178 | RAZ=6000178 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | PRG23=0 | Trigger multiplicity=1 | Length (min.)=62.788783 | Size (MB)=998.593800 | Dead time (%)=40.257572 | Start Date=20-NOV-2010 08:14:21.00 | End Date=20-NOV-2010 09:17:14.00 | 
36 | Buffers=56815 | Events=5349732 | Faraday 1=0 | Faraday 2=0 | DEC=7413253 | FC=5348338 | OK=5348338 | FT=5348338 | AVL=0 | OCD=5348338 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=636969 | Gene TM=255973 | Gene MARQ=0 | OA=5348338 | RAZ=5348338 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | PRG23=0 | Trigger multiplicity=1 | Length (min.)=56.394733 | Size (MB)=887.734400 | Dead time (%)=40.186100 | Start Date=20-NOV-2010 09:17:14.00 | End Date=20-NOV-2010 10:13:26.00 | Comments=Masquage des Si 2.3 2.4 3.4 et 3.11, on met a jour les donnees depuis l'ancien CEC | 
37 | Buffers=38447 | Events=3631748 | Faraday 1=0 | Faraday 2=0 | DEC=4979820 | FC=3632020 | OK=3632020 | FT=3632020 | AVL=0 | OCD=3632020 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=439770 | Gene TM=174796 | Gene MARQ=0 | OA=3632020 | RAZ=3632021 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | PRG23=0 | Trigger multiplicity=1 | Length (min.)=38.862300 | Size (MB)=600.734400 | Dead time (%)=39.747139 | Start Date=20-NOV-2010 10:31:06.00 | End Date=20-NOV-2010 11:10:01.00 | 
38 | Buffers=63909 | Events=6034473 | Faraday 1=0 | Faraday 2=0 | DEC=8298846 | FC=6035944 | OK=6035944 | FT=6035944 | AVL=0 | OCD=6035944 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=723658 | Gene TM=288975 | Gene MARQ=0 | OA=6035944 | RAZ=6035945 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | PRG23=0 | Trigger multiplicity=1 | Length (min.)=63.901650 | Size (MB)=998.578100 | Dead time (%)=39.932537 | Start Date=20-NOV-2010 16:15:03.00 | End Date=20-NOV-2010 17:19:00.00 | Comments=On met sous tension (boitier 90V) les Si75 et masquage du 10.2, seuils discri des Si75 a 7mV | 
39 | Buffers=63907 | Events=6035320 | Faraday 1=0 | Faraday 2=0 | DEC=8287757 | FC=6034206 | OK=6034206 | FT=6034206 | AVL=0 | OCD=6034206 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=727176 | Gene TM=288490 | Gene MARQ=0 | OA=6034206 | RAZ=6034206 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | PRG23=0 | Trigger multiplicity=1 | Length (min.)=64.241717 | Size (MB)=998.546900 | Dead time (%)=39.672653 | Start Date=20-NOV-2010 17:19:00.00 | End Date=20-NOV-2010 18:23:07.00 | 
40 | Buffers=63908 | Events=6036491 | Faraday 1=0 | Faraday 2=0 | DEC=8286479 | FC=6037007 | OK=6037007 | FT=6037007 | AVL=0 | OCD=6037007 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=728604 | Gene TM=289009 | Gene MARQ=0 | OA=6037007 | RAZ=6037007 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | PRG23=0 | Trigger multiplicity=1 | Length (min.)=64.289883 | Size (MB)=998.562500 | Dead time (%)=39.666130 | Start Date=20-NOV-2010 18:23:09.00 | End Date=20-NOV-2010 19:27:17.00 | 
41 | Buffers=16869 | Events=1589964 | Faraday 1=0 | Faraday 2=0 | DEC=12107521 | FC=1589534 | OK=1589534 | FT=1589534 | AVL=0 | OCD=1589534 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=15403466 | Gene TM=76467 | Gene MARQ=0 | OA=1589534 | RAZ=1589535 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | PRG23=0 | Trigger multiplicity=1 | Length (min.)=1369.644333 | Size (MB)=263.578100 | Dead time (%)=0.496427 | Start Date=20-NOV-2010 19:27:17.00 | End Date=21-NOV-2010 18:17:06.00 | Comments=WE, on arrive l'acquisition tourne mais sans evt, on relance et ca repart | 
42 | Buffers=63907 | Events=6036453 | Faraday 1=0 | Faraday 2=0 | DEC=8305291 | FC=6036824 | OK=6036823 | FT=6036823 | AVL=0 | OCD=6036822 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=723730 | Gene TM=289274 | Gene MARQ=0 | OA=6036822 | RAZ=6036823 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | PRG23=0 | Trigger multiplicity=1 | Length (min.)=63.889083 | Size (MB)=998.546900 | Dead time (%)=39.969879 | Start Date=21-NOV-2010 18:18:05.00 | End Date=21-NOV-2010 19:22:01.00 | 
43 | Buffers=63907 | Events=6035827 | Faraday 1=0 | Faraday 2=0 | DEC=8306237 | FC=6035888 | OK=6035888 | FT=6035888 | AVL=0 | OCD=6035888 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=723007 | Gene TM=289189 | Gene MARQ=0 | OA=6035888 | RAZ=6035888 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | PRG23=0 | Trigger multiplicity=1 | Length (min.)=63.923433 | Size (MB)=998.546900 | Dead time (%)=39.998093 | Start Date=21-NOV-2010 19:22:01.00 | End Date=21-NOV-2010 20:25:29.00 | 
